"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","estimate","coef","method","functionform","precision","abs_yi","source","repo","branch","repo_license"
"gh_fpsim_fpsim_fpsim_locations_nigeria_lagos_data_method_time_coefficients.csv","fpsim","fpsim/locations/nigeria_lagos/data/method_time_coefficients.csv","fpsim / fpsim / fpsim/locations/nigeria_lagos/data/method_time_coefficients.csv",14,-1.41710258339903,0.229826868413539,"estimate",-1.41710258339903,"age_grp_fact(35,50]","Pill","gamma",2.08592937589555,1.41710258339903,"GitHub","fpsim","main","MIT"
"gh_fpsim_fpsim_fpsim_locations_nigeria_lagos_data_method_time_coefficients.csv","fpsim","fpsim/locations/nigeria_lagos/data/method_time_coefficients.csv","fpsim / fpsim / fpsim/locations/nigeria_lagos/data/method_time_coefficients.csv",15,1.14008765609854,0.41347496914922,"estimate",1.14008765609854,"shape","IUD","gamma",1.55516111349058,1.14008765609854,"GitHub","fpsim","main","MIT"
"gh_fpsim_fpsim_fpsim_locations_nigeria_lagos_data_method_time_coefficients.csv","fpsim","fpsim/locations/nigeria_lagos/data/method_time_coefficients.csv","fpsim / fpsim / fpsim/locations/nigeria_lagos/data/method_time_coefficients.csv",16,-1.69312648359011,0.733266626527676,"estimate",-1.69312648359011,"rate","IUD","gamma",1.16780153129779,1.69312648359011,"GitHub","fpsim","main","MIT"
"gh_fpsim_fpsim_fpsim_locations_nigeria_lagos_data_method_time_coefficients.csv","fpsim","fpsim/locations/nigeria_lagos/data/method_time_coefficients.csv","fpsim / fpsim / fpsim/locations/nigeria_lagos/data/method_time_coefficients.csv",17,-0.0133930573364375,1.09090909141155,"estimate",-0.0133930573364375,"age_grp_fact(0,18]","IUD","exponential",0.95742710753585,0.0133930573364375,"GitHub","fpsim","main","MIT"
"gh_fpsim_fpsim_fpsim_locations_nigeria_lagos_data_method_time_coefficients.csv","fpsim","fpsim/locations/nigeria_lagos/data/method_time_coefficients.csv","fpsim / fpsim / fpsim/locations/nigeria_lagos/data/method_time_coefficients.csv",18,-0.914941507473389,1.09090909141155,"estimate",-0.914941507473389,"age_grp_fact(18,20]","IUD","exponential",0.95742710753585,0.914941507473389,"GitHub","fpsim","main","MIT"
"gh_fpsim_fpsim_fpsim_locations_nigeria_lagos_data_method_time_coefficients.csv","fpsim","fpsim/locations/nigeria_lagos/data/method_time_coefficients.csv","fpsim / fpsim / fpsim/locations/nigeria_lagos/data/method_time_coefficients.csv",19,0,0,"estimate",0,"age_grp_fact(20,25]","IUD","gamma",NA,0,"GitHub","fpsim","main","MIT"
"gh_fpsim_fpsim_fpsim_locations_nigeria_lagos_data_method_time_coefficients.csv","fpsim","fpsim/locations/nigeria_lagos/data/method_time_coefficients.csv","fpsim / fpsim / fpsim/locations/nigeria_lagos/data/method_time_coefficients.csv",20,-0.85841181698192,0.472687209886185,"estimate",-0.85841181698192,"age_grp_fact(25,35]","IUD","gamma",1.45449781913435,0.85841181698192,"GitHub","fpsim","main","MIT"
"gh_fpsim_fpsim_fpsim_locations_nigeria_lagos_data_method_time_coefficients.csv","fpsim","fpsim/locations/nigeria_lagos/data/method_time_coefficients.csv","fpsim / fpsim / fpsim/locations/nigeria_lagos/data/method_time_coefficients.csv",21,-1.76888182773243,0.624785139720838,"estimate",-1.76888182773243,"age_grp_fact(35,50]","IUD","gamma",1.26512854345765,1.76888182773243,"GitHub","fpsim","main","MIT"
"gh_fpsim_fpsim_fpsim_locations_nigeria_lagos_data_method_time_coefficients.csv","fpsim","fpsim/locations/nigeria_lagos/data/method_time_coefficients.csv","fpsim / fpsim / fpsim/locations/nigeria_lagos/data/method_time_coefficients.csv",22,-0.1044003588039,0.0555836989500774,"estimate",-0.1044003588039,"shape","Injectable","gamma",4.2415664744379,0.1044003588039,"GitHub","fpsim","main","MIT"
"gh_fpsim_fpsim_fpsim_locations_nigeria_lagos_data_method_time_coefficients.csv","fpsim","fpsim/locations/nigeria_lagos/data/method_time_coefficients.csv","fpsim / fpsim / fpsim/locations/nigeria_lagos/data/method_time_coefficients.csv",23,-2.68205630773678,0.240581476537152,"estimate",-2.68205630773678,"rate","Injectable","gamma",2.03877315739858,2.68205630773678,"GitHub","fpsim","main","MIT"
"gh_fpsim_fpsim_fpsim_locations_nigeria_lagos_data_method_time_coefficients.csv","fpsim","fpsim/locations/nigeria_lagos/data/method_time_coefficients.csv","fpsim / fpsim / fpsim/locations/nigeria_lagos/data/method_time_coefficients.csv",24,-0.504520464792445,0.0291995030154024,"estimate",-0.504520464792445,"age_grp_fact(0,18]","Injectable","lnorm",5.85210716151026,0.504520464792445,"GitHub","fpsim","main","MIT"
"gh_fpsim_fpsim_fpsim_locations_nigeria_lagos_data_method_time_coefficients.csv","fpsim","fpsim/locations/nigeria_lagos/data/method_time_coefficients.csv","fpsim / fpsim / fpsim/locations/nigeria_lagos/data/method_time_coefficients.csv",25,-0.418113180792587,1.29508672685718,"estimate",-0.418113180792587,"age_grp_fact(18,20]","Injectable","gamma",0.878720126636748,0.418113180792587,"GitHub","fpsim","main","MIT"
"gh_fpsim_fpsim_fpsim_locations_nigeria_lagos_data_method_time_coefficients.csv","fpsim","fpsim/locations/nigeria_lagos/data/method_time_coefficients.csv","fpsim / fpsim / fpsim/locations/nigeria_lagos/data/method_time_coefficients.csv",26,0,0,"estimate",0,"age_grp_fact(20,25]","Injectable","gamma",NA,0,"GitHub","fpsim","main","MIT"
"gh_fpsim_fpsim_fpsim_locations_nigeria_lagos_data_method_time_coefficients.csv","fpsim","fpsim/locations/nigeria_lagos/data/method_time_coefficients.csv","fpsim / fpsim / fpsim/locations/nigeria_lagos/data/method_time_coefficients.csv",27,-1.1945036219983,0.301544379176312,"estimate",-1.1945036219983,"age_grp_fact(25,35]","Injectable","gamma",1.82106052880738,1.1945036219983,"GitHub","fpsim","main","MIT"
"gh_fpsim_fpsim_fpsim_locations_nigeria_lagos_data_method_time_coefficients.csv","fpsim","fpsim/locations/nigeria_lagos/data/method_time_coefficients.csv","fpsim / fpsim / fpsim/locations/nigeria_lagos/data/method_time_coefficients.csv",28,-2.65060788848319,0.901485653655926,"estimate",-2.65060788848319,"age_grp_fact(35,50]","Injectable","gamma",1.05322361987812,2.65060788848319,"GitHub","fpsim","main","MIT"
"gh_fpsim_fpsim_fpsim_locations_nigeria_lagos_data_method_time_coefficients.csv","fpsim","fpsim/locations/nigeria_lagos/data/method_time_coefficients.csv","fpsim / fpsim / fpsim/locations/nigeria_lagos/data/method_time_coefficients.csv",29,0.324078890035605,0.00858629208531235,"estimate",0.324078890035605,"shape","Condom","weibull",10.7918815754992,0.324078890035605,"GitHub","fpsim","main","MIT"
"gh_fpsim_fpsim_fpsim_locations_nigeria_lagos_data_method_time_coefficients.csv","fpsim","fpsim/locations/nigeria_lagos/data/method_time_coefficients.csv","fpsim / fpsim / fpsim/locations/nigeria_lagos/data/method_time_coefficients.csv",30,3.50283452512744,0.0327208060561282,"estimate",3.50283452512744,"scale","Condom","weibull",5.5282541823246,3.50283452512744,"GitHub","fpsim","main","MIT"
"gh_fpsim_fpsim_fpsim_locations_nigeria_lagos_data_method_time_coefficients.csv","fpsim","fpsim/locations/nigeria_lagos/data/method_time_coefficients.csv","fpsim / fpsim / fpsim/locations/nigeria_lagos/data/method_time_coefficients.csv",31,-1.1139351190332,0.137373269751285,"estimate",-1.1139351190332,"age_grp_fact(0,18]","Condom","weibull",2.69804309528724,1.1139351190332,"GitHub","fpsim","main","MIT"
"gh_fpsim_fpsim_fpsim_locations_nigeria_lagos_data_method_time_coefficients.csv","fpsim","fpsim/locations/nigeria_lagos/data/method_time_coefficients.csv","fpsim / fpsim / fpsim/locations/nigeria_lagos/data/method_time_coefficients.csv",32,0.279753795997539,0.294896330780126,"estimate",0.279753795997539,"age_grp_fact(18,20]","Condom","weibull",1.84147283041804,0.279753795997539,"GitHub","fpsim","main","MIT"
"gh_fpsim_fpsim_fpsim_locations_nigeria_lagos_data_method_time_coefficients.csv","fpsim","fpsim/locations/nigeria_lagos/data/method_time_coefficients.csv","fpsim / fpsim / fpsim/locations/nigeria_lagos/data/method_time_coefficients.csv",33,0,0,"estimate",0,"age_grp_fact(20,25]","Condom","weibull",NA,0,"GitHub","fpsim","main","MIT"
"gh_fpsim_fpsim_fpsim_locations_nigeria_lagos_data_method_time_coefficients.csv","fpsim","fpsim/locations/nigeria_lagos/data/method_time_coefficients.csv","fpsim / fpsim / fpsim/locations/nigeria_lagos/data/method_time_coefficients.csv",34,-0.0465765082096487,0.0440968622978229,"estimate",-0.0465765082096487,"age_grp_fact(25,35]","Condom","weibull",4.76207417501469,0.0465765082096487,"GitHub","fpsim","main","MIT"
"gh_fpsim_fpsim_fpsim_locations_nigeria_lagos_data_method_time_coefficients.csv","fpsim","fpsim/locations/nigeria_lagos/data/method_time_coefficients.csv","fpsim / fpsim / fpsim/locations/nigeria_lagos/data/method_time_coefficients.csv",35,0.611395340531168,0.110018817644281,"estimate",0.611395340531168,"age_grp_fact(35,50]","Condom","weibull",3.0148555818967,0.611395340531168,"GitHub","fpsim","main","MIT"
