"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","experiment","precision","abs_yi","source","repo","branch","repo_license"
"gh_lnalborczyk_IBSM2023__imsb_data-raw_meta.csv","lnalborczyk","_imsb/data-raw/meta.csv","lnalborczyk / IBSM2023 / _imsb/data-raw/meta.csv",1,0.735209365744333,0.29846544933949,"from_dataset",1,1.83042933793067,0.735209365744333,"GitHub","IBSM2023","main","MIT"
"gh_lnalborczyk_IBSM2023__imsb_data-raw_meta.csv","lnalborczyk","_imsb/data-raw/meta.csv","lnalborczyk / IBSM2023 / _imsb/data-raw/meta.csv",2,0.925134051833503,0.0479673776201386,"from_dataset",2,4.56590647975298,0.925134051833503,"GitHub","IBSM2023","main","MIT"
"gh_lnalborczyk_IBSM2023__imsb_data-raw_meta.csv","lnalborczyk","_imsb/data-raw/meta.csv","lnalborczyk / IBSM2023 / _imsb/data-raw/meta.csv",3,-0.124624068733917,0.179281773936149,"from_dataset",1,2.36173915418902,0.124624068733917,"GitHub","IBSM2023","main","MIT"
"gh_lnalborczyk_IBSM2023__imsb_data-raw_meta.csv","lnalborczyk","_imsb/data-raw/meta.csv","lnalborczyk / IBSM2023 / _imsb/data-raw/meta.csv",4,-0.128328393679404,0.100015759536877,"from_dataset",1,3.16202850945974,0.128328393679404,"GitHub","IBSM2023","main","MIT"
"gh_lnalborczyk_IBSM2023__imsb_data-raw_meta.csv","lnalborczyk","_imsb/data-raw/meta.csv","lnalborczyk / IBSM2023 / _imsb/data-raw/meta.csv",5,0.350487089360299,0.0596309254514593,"from_dataset",2,4.09509730134628,0.350487089360299,"GitHub","IBSM2023","main","MIT"
"gh_lnalborczyk_IBSM2023__imsb_data-raw_meta.csv","lnalborczyk","_imsb/data-raw/meta.csv","lnalborczyk / IBSM2023 / _imsb/data-raw/meta.csv",6,0.609278390192778,0.31866669994879,"from_dataset",1,1.77146125728487,0.609278390192778,"GitHub","IBSM2023","main","MIT"
"gh_lnalborczyk_IBSM2023__imsb_data-raw_meta.csv","lnalborczyk","_imsb/data-raw/meta.csv","lnalborczyk / IBSM2023 / _imsb/data-raw/meta.csv",7,0.511022254817035,0.162314256106069,"from_dataset",1,2.48211367418528,0.511022254817035,"GitHub","IBSM2023","main","MIT"
"gh_lnalborczyk_IBSM2023__imsb_data-raw_meta.csv","lnalborczyk","_imsb/data-raw/meta.csv","lnalborczyk / IBSM2023 / _imsb/data-raw/meta.csv",8,0.407867633335339,0.0421658524215913,"from_dataset",2,4.86989455502498,0.407867633335339,"GitHub","IBSM2023","main","MIT"
"gh_lnalborczyk_IBSM2023__imsb_data-raw_meta.csv","lnalborczyk","_imsb/data-raw/meta.csv","lnalborczyk / IBSM2023 / _imsb/data-raw/meta.csv",9,0.229159881838609,0.320822155184344,"from_dataset",1,1.76550041516313,0.229159881838609,"GitHub","IBSM2023","main","MIT"
"gh_lnalborczyk_IBSM2023__imsb_data-raw_meta.csv","lnalborczyk","_imsb/data-raw/meta.csv","lnalborczyk / IBSM2023 / _imsb/data-raw/meta.csv",10,-0.223592129563456,0.0887643069373854,"from_dataset",2,3.35645490555274,0.223592129563456,"GitHub","IBSM2023","main","MIT"
"gh_lnalborczyk_IBSM2023__imsb_data-raw_meta.csv","lnalborczyk","_imsb/data-raw/meta.csv","lnalborczyk / IBSM2023 / _imsb/data-raw/meta.csv",11,0.145865089396734,0.100381893652592,"from_dataset",3,3.15625663130509,0.145865089396734,"GitHub","IBSM2023","main","MIT"
"gh_lnalborczyk_IBSM2023__imsb_data-raw_meta.csv","lnalborczyk","_imsb/data-raw/meta.csv","lnalborczyk / IBSM2023 / _imsb/data-raw/meta.csv",12,0.172318407910456,0.0907881045604927,"from_dataset",1,3.31883396043214,0.172318407910456,"GitHub","IBSM2023","main","MIT"
"gh_lnalborczyk_IBSM2023__imsb_data-raw_meta.csv","lnalborczyk","_imsb/data-raw/meta.csv","lnalborczyk / IBSM2023 / _imsb/data-raw/meta.csv",13,0.0027787906054168,0.138375081842185,"from_dataset",1,2.68825866683037,0.0027787906054168,"GitHub","IBSM2023","main","MIT"
