PE-MP Type,Treatment,PE-MP concentration (mg/kg),Unassigned;__,k__Archaea;__,k__Archaea;p__Aenigmarchaeota,k__Archaea;p__Crenarchaeota,k__Archaea;p__Euryarchaeota,k__Archaea;p__Halobacterota,k__Archaea;p__Nanoarchaeota,k__Archaea;p__Thermoplasmatota,k__Bacteria;__,k__Bacteria;p__Abditibacteriota,k__Bacteria;p__Acidobacteriota,k__Bacteria;p__Actinobacteriota,k__Bacteria;p__Armatimonadota,k__Bacteria;p__Bacteroidota,k__Bacteria;p__Bdellovibrionota,k__Bacteria;p__Caldatribacteriota,k__Bacteria;p__Caldisericota,k__Bacteria;p__Campilobacterota,k__Bacteria;p__Chloroflexi,k__Bacteria;p__Cloacimonadota,k__Bacteria;p__Coprothermobacterota,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__Dadabacteria,k__Bacteria;p__Deferribacterota,k__Bacteria;p__Deinococcota,k__Bacteria;p__Dependentiae,k__Bacteria;p__Desulfobacterota,k__Bacteria;p__Elusimicrobiota,k__Bacteria;p__Entotheonellaeota,k__Bacteria;p__Fibrobacterota,k__Bacteria;p__Firmicutes,k__Bacteria;p__Fusobacteriota,k__Bacteria;p__Gemmatimonadota,k__Bacteria;p__Halanaerobiaeota,k__Bacteria;p__Hydrogenedentes,k__Bacteria;p__Latescibacterota,k__Bacteria;p__MBNT15,k__Bacteria;p__Marinimicrobia_(SAR406_clade),k__Bacteria;p__Methylomirabilota,k__Bacteria;p__Myxococcota,k__Bacteria;p__NB1-j,k__Bacteria;p__Nitrospirota,k__Bacteria;p__Patescibacteria,k__Bacteria;p__Planctomycetota,k__Bacteria;p__Proteobacteria,k__Bacteria;p__RCP2-54,k__Bacteria;p__SAR324_clade(Marine_group_B),k__Bacteria;p__Schekmanbacteria,k__Bacteria;p__Spirochaetota,k__Bacteria;p__Sumerlaeota,k__Bacteria;p__Sva0485,k__Bacteria;p__Synergistota,k__Bacteria;p__Verrucomicrobiota,k__Bacteria;p__WPS-2,k__Bacteria;p__WS1,...59,...60,...61,...62
PRISTINE,C3,20,98,0,0,0,47,0,0,0,53,0,5,8525,0,189,83,0,6,0,68,0,0,113,8,0,11,29,4,0,0,5,12281,0,26,0,0,0,0,0,0,81,0,0,32,1545,2703,0,0,0,17,0,0,17,88,0,0,NA,NA,NA,NA
PRISTINE,C4,200,24,18,0,0,13,3,0,0,70,0,19,7944,0,331,52,0,0,1,119,0,0,232,3,0,17,45,0,0,0,4,10257,3,54,0,0,2,0,0,2,116,0,4,26,3394,3183,0,0,0,14,0,0,22,60,2,0,NA,NA,NA,NA
PRISTINE,C4,200,113,12,13,0,0,0,0,0,62,0,0,2794,0,8548,9,0,0,52,13,0,0,77,0,0,10,10,9,0,0,5,12874,7,13,0,0,0,0,0,0,30,0,0,0,85,1263,0,0,0,3,2,0,19,11,0,0,NA,NA,NA,NA
PRISTINE,C4,200,59,28,0,0,10,0,0,0,48,0,2,6787,0,126,30,0,1,3,59,0,0,291,0,0,5,34,5,0,0,2,13723,0,30,0,0,0,0,0,0,102,0,0,20,1801,2799,0,0,0,14,1,1,18,35,0,0,NA,NA,NA,NA
PRISTINE,C4,200,91,0,20,0,24,0,0,0,53,0,1,7039,0,200,39,0,0,0,54,2,0,188,0,0,4,29,4,0,0,1,13459,1,20,0,0,0,0,0,0,149,0,0,12,1629,2921,0,0,0,16,0,3,23,52,0,0,NA,NA,NA,NA
PRISTINE,C5,2000,62,32,22,0,22,0,0,0,46,4,3,5215,0,224,46,0,0,4,52,3,0,266,6,0,15,13,0,0,0,4,14172,38,16,0,0,0,0,0,0,90,0,0,13,1664,3951,0,0,0,0,0,0,6,45,0,0,NA,NA,NA,NA
PRISTINE,C5,2000,108,13,0,0,29,0,0,0,49,7,11,3999,0,221,34,0,0,0,56,0,0,4658,0,0,10,45,12,0,0,0,8928,0,29,0,0,0,0,0,0,152,0,0,15,2282,5341,0,0,0,0,6,0,9,20,0,0,NA,NA,NA,NA
PRISTINE,C5,2000,109,22,10,0,35,0,0,0,52,0,8,6153,0,303,32,8,0,0,93,0,0,157,0,0,28,36,5,0,0,5,11624,4,48,0,0,0,0,0,0,103,0,0,20,1978,5092,0,0,0,41,4,0,21,43,0,0,NA,NA,NA,NA
PRISTINE,C5,2000,59,17,24,0,129,0,0,0,67,0,40,7265,0,292,112,0,0,2,155,2,0,1152,2,0,111,18,6,0,0,0,11020,19,72,0,0,0,0,0,0,72,0,0,12,2003,3224,0,0,0,11,4,0,31,113,0,0,NA,NA,NA,NA
UV,C0,0,71,26,0,7,69,0,0,0,62,0,13,10292,0,381,24,63,0,2,119,54,0,987,3,0,6,25,33,0,0,14,7867,0,15,0,0,0,0,2,0,82,0,0,10,891,4303,0,0,0,240,0,0,229,139,0,5,NA,NA,NA,NA
UV,C0,0,201,3,4,0,3,0,0,0,42,0,1,3063,0,7117,14,6,0,39,22,0,0,141,0,0,4,6,0,0,0,0,12911,4,0,0,0,0,0,0,0,35,0,0,11,289,2071,0,0,0,10,0,0,12,21,4,0,NA,NA,NA,NA
UV,C0,0,21,9,0,0,671,0,0,0,37,0,1,6193,0,90,42,0,0,0,47,0,0,108,0,0,0,43,0,0,0,17,11510,0,24,0,0,0,0,0,0,96,0,0,28,2861,4159,0,0,0,4,0,0,0,73,0,0,NA,NA,NA,NA
UV,C0,0,19,4,8,0,11,0,0,0,63,0,5,15849,0,126,16,0,0,0,72,0,0,36,1,0,10,17,0,0,0,19,6315,0,36,0,0,0,0,0,0,48,0,0,21,1079,2186,0,0,0,45,0,0,0,48,0,0,NA,NA,NA,NA
UV,C1,0.2,28,6,0,5,22,0,0,0,58,0,19,13548,0,242,16,0,0,0,91,0,0,110,0,0,4,42,0,0,0,27,6815,0,42,0,0,0,0,0,0,129,0,0,46,1131,3561,0,0,0,26,3,0,3,58,2,0,NA,NA,NA,NA
UV,C1,0.2,74,3,0,0,0,0,0,0,15,0,0,4061,0,8829,0,0,0,56,17,0,0,21,0,0,1,5,0,0,0,0,11521,3,12,0,0,0,0,0,0,15,0,0,2,70,1309,0,0,0,5,0,0,0,15,0,0,NA,NA,NA,NA
UV,C1,0.2,37,6,9,0,6,0,0,0,24,0,1,14872,0,179,12,0,0,0,57,0,0,76,0,0,0,22,0,0,0,15,6918,0,21,0,0,0,0,0,0,48,0,0,27,740,2854,0,0,0,61,4,2,0,42,1,0,NA,NA,NA,NA
UV,C1,0.2,40,12,0,0,10,0,0,0,61,0,7,13293,0,89,14,0,0,1,60,0,0,147,0,0,7,135,0,0,0,0,6880,0,14,1,0,4,0,0,0,63,0,0,17,1613,3439,0,0,0,0,0,0,4,123,0,0,NA,NA,NA,NA
UV,C2,2,25,46,0,0,2,0,0,0,49,2,0,10411,0,260,23,0,0,0,36,0,0,54,0,0,2,23,0,0,0,11,10334,3,25,0,1,0,0,0,0,73,0,0,10,918,3670,0,0,0,9,7,0,0,40,0,0,NA,NA,NA,NA
UV,C2,2,61,32,0,0,19,0,0,0,61,0,6,11693,0,377,19,0,0,1,49,0,0,617,0,0,3,43,2,0,0,12,8627,0,17,0,0,0,0,0,0,120,0,0,23,629,3567,0,0,0,15,1,0,0,36,4,0,NA,NA,NA,NA
UV,C2,2,81,10,3,0,16,0,0,0,39,0,16,12630,2,509,14,0,0,0,87,0,0,107,0,0,4,31,0,0,0,25,5948,0,17,0,0,0,0,0,0,118,0,0,27,1242,5011,0,0,0,27,9,0,0,60,1,0,NA,NA,NA,NA
UV,C2,2,42,28,0,0,14,0,0,0,47,0,4,13150,0,368,17,0,0,3,110,0,0,1170,0,0,9,12,0,0,0,12,5785,0,23,0,0,0,0,0,0,78,0,0,13,759,4157,0,0,0,169,4,0,0,60,0,0,NA,NA,NA,NA
UV,C3,20,56,10,0,0,21,0,0,0,23,0,1,11665,0,435,21,11,0,0,142,4,0,977,0,0,0,96,2,0,0,9,7060,4,47,0,0,0,0,0,0,65,0,0,18,1427,3725,0,0,0,32,3,0,34,146,0,0,NA,NA,NA,NA
UV,C3,20,72,23,6,0,40,0,0,0,63,12,10,6606,2,2878,28,0,0,11,96,0,0,620,0,0,3,15,0,0,0,3,7605,0,10,0,0,0,0,0,0,66,0,0,52,1274,6337,0,0,0,6,0,0,4,178,14,0,NA,NA,NA,NA
UV,C3,20,18,9,0,0,597,0,0,0,27,4,10,9631,0,185,19,0,0,0,76,0,0,70,0,0,0,86,0,0,0,9,8558,0,24,0,0,0,0,0,0,107,0,0,6,2539,3981,0,0,0,0,0,0,6,72,0,0,NA,NA,NA,NA
UV,C3,20,29,0,0,0,14,0,0,0,75,0,2,16334,0,141,18,0,0,0,145,0,0,88,0,0,5,8,0,0,0,28,3995,3,29,0,0,0,0,0,0,73,0,0,12,2234,2754,0,0,0,3,0,0,5,39,0,0,NA,NA,NA,NA
UV,C4,200,26,0,4,4,31,0,0,0,34,0,25,10948,0,161,16,0,0,0,85,0,0,265,0,0,6,38,2,0,0,13,5736,6,35,0,0,0,0,0,8,365,0,0,36,4098,3972,0,0,0,24,0,1,6,88,1,0,NA,NA,NA,NA
UV,C4,200,88,3,13,0,0,0,0,0,53,0,2,3354,0,10828,3,0,0,59,11,0,0,26,0,0,3,2,5,0,0,0,10233,3,0,0,0,0,0,0,0,73,0,0,1,360,900,0,0,0,5,0,0,3,6,0,0,NA,NA,NA,NA
UV,C4,200,42,10,2,0,22,5,0,0,99,0,29,10777,0,310,0,0,0,1,38,0,0,110,0,0,0,43,0,0,16,0,8434,2,5,0,0,0,0,0,0,26,0,0,117,2917,2929,0,0,0,0,0,0,2,98,0,0,NA,NA,NA,NA
UV,C4,200,47,2,0,0,16,0,0,0,49,0,174,12147,10,650,5,0,0,0,28,0,0,438,0,0,99,34,0,0,0,0,4056,23,236,0,0,40,0,0,0,351,0,0,19,2594,4745,0,0,0,1,0,0,205,65,0,0,NA,NA,NA,NA
UV,C5,2000,157,10,0,17,7,0,0,0,74,0,8,4810,0,197,4,0,0,3,20,0,0,71,2,0,0,17,7,0,0,12,5443,0,14,0,0,0,0,0,0,89,0,0,11,1369,13673,0,0,0,1,0,0,5,13,0,0,NA,NA,NA,NA
UV,C5,2000,6,0,3,1,10,0,0,0,67,4,95,10949,0,264,27,0,0,0,120,0,0,683,0,0,3,151,9,0,0,10,6376,0,57,0,0,1,0,0,0,133,0,19,95,693,5993,0,0,0,11,3,0,3,248,0,0,NA,NA,NA,NA
UV,C5,2000,22,4,0,0,21,0,0,0,35,0,36,12132,0,296,28,0,0,0,120,5,0,45,0,2,4,81,4,0,0,7,6675,3,17,0,0,0,0,0,0,190,0,0,108,761,5166,0,0,0,31,5,0,4,232,0,0,NA,NA,NA,NA
UV,C5,2000,20,5,4,0,18,0,0,0,47,0,15,13299,0,232,26,0,0,0,107,0,0,51,0,0,0,103,0,0,0,16,5483,0,17,0,0,0,0,0,0,167,0,0,67,1022,5118,0,0,0,37,4,0,0,174,2,0,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
