"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","id_code","bee_species","exposure_type","pesticide_applied","hours_after_exposure","bee_stage","ter","cer","rare_ctrl","risk_diff0","ntotal","log_ntotal","precision","abs_yi","source","repo","branch","repo_license"
"gh_CKita_Bees_Figure_Data_lethal_effects.csv","CKita","Figure/Data/lethal_effects.csv","CKita / Bees / Figure/Data/lethal_effects.csv",14,-9.59158109119348,4.03305785123967,"from_dataset","C0084","tetragonisca_fiebrigi","orally","insecticide",48,"adult",0,1,TRUE,-1,120,4.78749174278205,0.497946603233852,9.59158109119348,"GitHub","Bees","main","GPL-3.0"
"gh_CKita_Bees_Figure_Data_lethal_effects.csv","CKita","Figure/Data/lethal_effects.csv","CKita / Bees / Figure/Data/lethal_effects.csv",15,-3.3361649113913,2.12368746756099,"from_dataset","C0084","plebeia_emerina","topically","insecticide",48,"adult",0.816666666666667,1,TRUE,-0.183333333333333,120,4.78749174278205,0.686206295191785,3.3361649113913,"GitHub","Bees","main","GPL-3.0"
"gh_CKita_Bees_Figure_Data_lethal_effects.csv","CKita","Figure/Data/lethal_effects.csv","CKita / Bees / Figure/Data/lethal_effects.csv",16,-9.59158109119348,4.03305785123967,"from_dataset","C0084","plebeia_emerina","topically","insecticide",24,"adult",0,1,TRUE,-1,120,4.78749174278205,0.497946603233852,9.59158109119348,"GitHub","Bees","main","GPL-3.0"
"gh_CKita_Bees_Figure_Data_lethal_effects.csv","CKita","Figure/Data/lethal_effects.csv","CKita / Bees / Figure/Data/lethal_effects.csv",17,-9.59158109119348,4.03305785123967,"from_dataset","C0084","plebeia_emerina","topically","insecticide",48,"adult",0,1,TRUE,-1,120,4.78749174278205,0.497946603233852,9.59158109119348,"GitHub","Bees","main","GPL-3.0"
"gh_CKita_Bees_Figure_Data_lethal_effects.csv","CKita","Figure/Data/lethal_effects.csv","CKita / Bees / Figure/Data/lethal_effects.csv",18,-9.59158109119348,4.03305785123967,"from_dataset","C0084","plebeia_emerina","topically","insecticide",48,"adult",0,1,TRUE,-1,120,4.78749174278205,0.497946603233852,9.59158109119348,"GitHub","Bees","main","GPL-3.0"
"gh_CKita_Bees_Figure_Data_lethal_effects.csv","CKita","Figure/Data/lethal_effects.csv","CKita / Bees / Figure/Data/lethal_effects.csv",19,-5.05960513664188,2.08325028192282,"from_dataset","C0084","tetragonisca_fiebrigi","topically","insecticide",48,"adult",0.433333333333333,1,TRUE,-0.566666666666667,120,4.78749174278205,0.692834132969663,5.05960513664188,"GitHub","Bees","main","GPL-3.0"
"gh_CKita_Bees_Figure_Data_lethal_effects.csv","CKita","Figure/Data/lethal_effects.csv","CKita / Bees / Figure/Data/lethal_effects.csv",20,-9.59158109119348,4.03305785123967,"from_dataset","C0084","tetragonisca_fiebrigi","topically","insecticide",24,"adult",0,1,TRUE,-1,120,4.78749174278205,0.497946603233852,9.59158109119348,"GitHub","Bees","main","GPL-3.0"
"gh_CKita_Bees_Figure_Data_lethal_effects.csv","CKita","Figure/Data/lethal_effects.csv","CKita / Bees / Figure/Data/lethal_effects.csv",21,-9.59158109119348,4.03305785123967,"from_dataset","C0084","tetragonisca_fiebrigi","topically","insecticide",24,"adult",0,1,TRUE,-1,120,4.78749174278205,0.497946603233852,9.59158109119348,"GitHub","Bees","main","GPL-3.0"
"gh_CKita_Bees_Figure_Data_lethal_effects.csv","CKita","Figure/Data/lethal_effects.csv","CKita / Bees / Figure/Data/lethal_effects.csv",22,-9.59158109119348,4.03305785123967,"from_dataset","C0084","tetragonisca_fiebrigi","topically","insecticide",48,"adult",0,1,TRUE,-1,120,4.78749174278205,0.497946603233852,9.59158109119348,"GitHub","Bees","main","GPL-3.0"
"gh_CKita_Bees_Figure_Data_lethal_effects.csv","CKita","Figure/Data/lethal_effects.csv","CKita / Bees / Figure/Data/lethal_effects.csv",23,-5.70057472093186,2.07226269958511,"from_dataset","C0093","melipona_quadrifasciata","orally","insecticide",960,"larvae",0,0.666666666666667,FALSE,-0.666666666666667,150,5.01063529409626,0.694668482416315,5.70057472093186,"GitHub","Bees","main","GPL-3.0"
