ID,X,Y,Area,City,Country,Continent,GridEPSG,dCenter,TransportSource,RushHour,TransportYear,DistanceDriving,DurationDriving,DistanceTransit,DurationTransit
2717,718973.9678,9082264.351,1012565.658,Trujillo,Peru,South_America,32717,20627.4010147679,Google,18h30,2020,NA,NA,NA,NA
2718,719973.9678,9082264.351,1012554.663,Trujillo,Peru,South_America,32717,20736.3271247356,Google,18h30,2020,NA,NA,NA,NA
2719,720973.9678,9082264.351,1012543.619,Trujillo,Peru,South_America,32717,20892.6028207126,Google,18h30,2020,NA,NA,NA,NA
2720,721973.9678,9082264.351,1012532.524,Trujillo,Peru,South_America,32717,21095.1758140113,Google,18h30,2020,NA,NA,NA,NA
2721,722973.9678,9082264.351,1012521.38,Trujillo,Peru,South_America,32717,21342.727862765,Google,18h30,2020,NA,NA,NA,NA
2722,723973.9678,9082264.351,1012510.186,Trujillo,Peru,South_America,32717,21633.7149519921,Google,18h30,2020,NA,NA,NA,NA
2723,724973.9678,9082264.351,1012498.941,Trujillo,Peru,South_America,32717,21966.411009176,Google,18h30,2020,NA,NA,NA,NA
2724,725973.9678,9082264.351,1012487.647,Trujillo,Peru,South_America,32717,22338.9525856529,Google,18h30,2020,NA,NA,NA,NA
2725,726973.9678,9082264.351,1012476.303,Trujillo,Peru,South_America,32717,22749.3822470864,Google,18h30,2020,NA,NA,NA,NA
2726,727973.9678,9082264.351,1012464.909,Trujillo,Peru,South_America,32717,23195.6888801356,Google,18h30,2020,24939.6266303044,3135.15026007753,NA,NA
2727,728973.9678,9082264.351,1012453.465,Trujillo,Peru,South_America,32717,23675.8436517909,Google,18h30,2020,28076.5261045115,3494.50091642603,NA,NA
2728,729973.9678,9082264.351,1012441.972,Trujillo,Peru,South_America,32717,24187.8308788541,Google,18h30,2020,30803.5041084779,3739.32806226187,NA,NA
2729,730973.9678,9082264.351,1012430.428,Trujillo,Peru,South_America,32717,24729.6735244129,Google,18h30,2020,33002.7057606364,3946.45350167345,NA,NA
2730,731973.9678,9082264.351,1012418.834,Trujillo,Peru,South_America,32717,25299.453405638,Google,18h30,2020,32516.8799440734,3800.30020244782,NA,NA
2731,732973.9678,9082264.351,1012407.191,Trujillo,Peru,South_America,32717,25895.3264629749,Google,18h30,2020,34273.2031518689,3915.19378820005,NA,NA
2732,733973.9678,9082264.351,1012395.498,Trujillo,Peru,South_America,32717,26515.533610019,Google,18h30,2020,35463.439642288096,4029.17951809535,NA,NA
2733,734973.9678,9082264.351,1012383.754,Trujillo,Peru,South_America,32717,27158.4077704134,Google,18h30,2020,36440.0138109404,4147.56542897734,NA,NA
2734,735973.9678,9082264.351,1012371.961,Trujillo,Peru,South_America,32717,27822.3777313164,Google,18h30,2020,37662.2537262633,4292.51786653437,NA,NA
2735,736973.9678,9082264.351,1012360.118,Trujillo,Peru,South_America,32717,28505.9694208783,Google,18h30,2020,38884.4936415863,4437.4703040914,NA,NA
2736,737973.9678,9082264.351,1012348.225,Trujillo,Peru,South_America,32717,29207.8051661546,Google,18h30,2020,39925.5734924547,4557.04992443223,NA,NA
2737,738973.9678,9082264.351,1012336.282,Trujillo,Peru,South_America,32717,29926.6014212113,Google,18h30,2020,40308.3837829799,4597.05507943256,NA,NA
2738,739973.9678,9082264.351,1012324.289,Trujillo,Peru,South_America,32717,30661.1653826799,Google,18h30,2020,44332.264296099,4932.99227322852,NA,NA
2739,740973.9678,9082264.351,1012312.247,Trujillo,Peru,South_America,32717,31410.3908384479,Google,18h30,2020,47056.2066084765,5144.43180155638,NA,NA
2740,741973.9678,9082264.351,1012300.154,Trujillo,Peru,South_America,32717,32173.2535287317,Google,18h30,2020,49263.7698304203,5312.39318281204,NA,NA
2741,742973.9678,9082264.351,1012288.012,Trujillo,Peru,South_America,32717,32948.8062397418,Google,18h30,2020,50956.3456114187,5463.40172138058,NA,NA
2742,743973.9678,9082264.351,1012275.819,Trujillo,Peru,South_America,32717,33736.1737994108,Google,18h30,2020,52851.9783637905,5628.59030518418,NA,NA
2743,744973.9678,9082264.351,1012263.577,Trujillo,Peru,South_America,32717,34534.5481022128,Google,18h30,2020,54913.8429529723,5804.87134789372,NA,NA
2744,745973.9678,9082264.351,1012251.285,Trujillo,Peru,South_America,32717,35343.1832553896,Google,18h30,2020,56792.8539039244,5967.71936470648,NA,NA
2745,746973.9678,9082264.351,1012238.943,Trujillo,Peru,South_America,32717,36161.3909110815,Google,18h30,2020,58627.5305849105,6127.8505181786,NA,NA
2746,747973.9678,9082264.351,1012226.551,Trujillo,Peru,South_America,32717,36988.5358269836,Google,18h30,2020,60403.1662492169,6284.3635592078,NA,NA
2747,748973.9678,9082264.351,1012214.109,Trujillo,Peru,South_America,32717,37824.031681248,Google,18h30,2020,62178.8019135233,6440.87660023701,NA,NA
2748,749973.9678,9082264.351,1012201.618,Trujillo,Peru,South_America,32717,38667.3371545553,Google,18h30,2020,64022.2055616164,6601.36663561989,NA,NA
2749,750973.9678,9082264.351,1012189.076,Trujillo,Peru,South_America,32717,39517.9522827797,Google,18h30,2020,65894.8037590111,6763.56996614957,NA,NA
2750,751973.9678,9082264.351,1012176.485,Trujillo,Peru,South_America,32717,40375.415076802,Google,18h30,2020,67767.4019564058,6925.77329667925,NA,NA
2751,752973.9678,9082264.351,1012163.844,Trujillo,Peru,South_America,32717,41239.2984012101,Google,18h30,2020,69508.0570139584,7075.65004986771,NA,NA
2752,753973.9678,9082264.351,1012151.153,Trujillo,Peru,South_America,32717,42109.2071003961,Google,18h30,2020,NA,NA,NA,NA
1,526002,6196101,1005667,Montevideo,Uruguay,South_America,32721,75549.8604161405,Google,17h00,2020,NA,NA,NA,NA
2,527002,6196101,1005666,Montevideo,Uruguay,South_America,32721,74930.4439149957,Google,17h00,2020,NA,NA,NA,NA
3,528002,6196101,1005665,Montevideo,Uruguay,South_America,32721,74319.3207833489,Google,17h00,2020,NA,NA,NA,NA
