"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","x","pop","model","metric","estimate","precision","abs_yi","source","repo","branch","repo_license"
"gh_DylanMG_DL-CC-sockeye_output_CV_pop_loos_run3.csv","DylanMG","output/CV/pop_loos_run3.csv","DylanMG / DL-CC-sockeye / output/CV/pop_loos_run3.csv",15,67.9738735217545,91.2290281962386,"estimate","looic.4","alastair","m4a","looic",67.9738735217545,0.104696816338637,67.9738735217545,"GitHub","DL-CC-sockeye","main",NA
"gh_DylanMG_DL-CC-sockeye_output_CV_pop_loos_run3.csv","DylanMG","output/CV/pop_loos_run3.csv","DylanMG / DL-CC-sockeye / output/CV/pop_loos_run3.csv",16,-34.2068073443592,23.5128714140731,"estimate","elpd_loo.5","alastair","m4b","elpd_loo",-34.2068073443592,0.206227779469424,34.2068073443592,"GitHub","DL-CC-sockeye","main",NA
"gh_DylanMG_DL-CC-sockeye_output_CV_pop_loos_run3.csv","DylanMG","output/CV/pop_loos_run3.csv","DylanMG / DL-CC-sockeye / output/CV/pop_loos_run3.csv",17,3.44728689073561,1.79099147357773,"estimate","p_loo.5","alastair","m4b","p_loo",3.44728689073561,0.747228178105532,3.44728689073561,"GitHub","DL-CC-sockeye","main",NA
"gh_DylanMG_DL-CC-sockeye_output_CV_pop_loos_run3.csv","DylanMG","output/CV/pop_loos_run3.csv","DylanMG / DL-CC-sockeye / output/CV/pop_loos_run3.csv",18,68.4136146887183,94.0514856562924,"estimate","looic.5","alastair","m4b","looic",68.4136146887183,0.103113889734712,68.4136146887183,"GitHub","DL-CC-sockeye","main",NA
"gh_DylanMG_DL-CC-sockeye_output_CV_pop_loos_run3.csv","DylanMG","output/CV/pop_loos_run3.csv","DylanMG / DL-CC-sockeye / output/CV/pop_loos_run3.csv",19,-78.4408756861544,434.729041248627,"estimate","elpd_loo1","asitika","m1","elpd_loo",-78.4408756861544,0.0479612698613363,78.4408756861544,"GitHub","DL-CC-sockeye","main",NA
"gh_DylanMG_DL-CC-sockeye_output_CV_pop_loos_run3.csv","DylanMG","output/CV/pop_loos_run3.csv","DylanMG / DL-CC-sockeye / output/CV/pop_loos_run3.csv",20,75.1263491972686,430.337870169726,"estimate","p_loo1","asitika","m1","p_loo",75.1263491972686,0.0482053473905573,75.1263491972686,"GitHub","DL-CC-sockeye","main",NA
"gh_DylanMG_DL-CC-sockeye_output_CV_pop_loos_run3.csv","DylanMG","output/CV/pop_loos_run3.csv","DylanMG / DL-CC-sockeye / output/CV/pop_loos_run3.csv",21,156.881751372309,1738.91616499451,"estimate","looic1","asitika","m1","looic",156.881751372309,0.0239806349306681,156.881751372309,"GitHub","DL-CC-sockeye","main",NA
"gh_DylanMG_DL-CC-sockeye_output_CV_pop_loos_run3.csv","DylanMG","output/CV/pop_loos_run3.csv","DylanMG / DL-CC-sockeye / output/CV/pop_loos_run3.csv",22,-2.01101180150228,0.0930049758991354,"estimate","elpd_loo.11","asitika","m2a","elpd_loo",-2.01101180150228,3.27904145869762,2.01101180150228,"GitHub","DL-CC-sockeye","main",NA
"gh_DylanMG_DL-CC-sockeye_output_CV_pop_loos_run3.csv","DylanMG","output/CV/pop_loos_run3.csv","DylanMG / DL-CC-sockeye / output/CV/pop_loos_run3.csv",23,0.336194027089203,0.0464821796444764,"estimate","p_loo.11","asitika","m2a","p_loo",0.336194027089203,4.6382778143791,0.336194027089203,"GitHub","DL-CC-sockeye","main",NA
"gh_DylanMG_DL-CC-sockeye_output_CV_pop_loos_run3.csv","DylanMG","output/CV/pop_loos_run3.csv","DylanMG / DL-CC-sockeye / output/CV/pop_loos_run3.csv",24,4.02202360300456,0.372019903596542,"estimate","looic.11","asitika","m2a","looic",4.02202360300456,1.63952072934881,4.02202360300456,"GitHub","DL-CC-sockeye","main",NA
