species_latin,family,country,province,site_name,habitat,soil_type,plant_part,unit,trait,trait_value,references
Acacia auriculiformis,Fabaceae,Brunei,Brunei-Muara district,Rimba Tungku Berakas,kerapah heath forest,peat,leaf,mg.g-1,nitrogen,23.66,Yusoff.2015
Acacia auriculiformis,Fabaceae,Brunei,Brunei-Muara district,Rimba Tungku Berakas,kerapah heath forest,peat,leaf,mg.g-1,phosphorus,0.8,Yusoff.2015
Acacia auriculiformis,Fabaceae,Australia,NA,NA,NA,unknown,wood,g.cm-3,wood density,0.68,DRYAD
Acacia auriculiformis,Fabaceae,NA,NA,NA,NA,unknown,wood,g.cm-3,wood density,0.665,PROSEA
Acacia auriculiformis,Fabaceae,NA,NA,NA,NA,unknown,wood,g.cm-3,wood density,0.581,ICRAF
Acacia crassicarpa,Fabaceae,NA,NA,NA,NA,unknown,wood,g.cm-3,wood density,0.616,ICRAF
Acacia crassicarpa,Fabaceae,Australia/PNG (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.581,DRYAD
Acacia crassicarpa,Fabaceae,Australia/PNG (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.61,DRYAD
Acacia crassicarpa,Fabaceae,NA,NA,NA,NA,unknown,wood,g.cm-3,wood density,0.69,PROSEA
Acacia crassicarpa,Fabaceae,Australia,NA,NA,NA,unknown,wood,g.cm-3,wood density,0.577,DRYAD
Acacia crassicarpa,Fabaceae,Australia,NA,NA,NA,unknown,wood,g.cm-3,wood density,0.618,DRYAD
Acacia mangium,Fabaceae,Thailand,Narathiwat,To Daeng,peat swamp forest secondary,peat,leaf,g.kg-1,calcium,1.3,Yanbuaban.et.al.2007
Acacia mangium,Fabaceae,Brunei,Brunei-Muara district,Rimba Tungku Berakas,kerapah heath forest,peat,leaf,mg.g-1,phosphorus,0.61,Yusoff.2015
Acacia mangium,Fabaceae,Thailand,Narathiwat,To Daeng,peat swamp forest secondary,peat,leaf,g.kg-1,magnesium,0.4,Yanbuaban.et.al.2007
Acacia mangium,Fabaceae,Brunei,Brunei-Muara district,Rimba Tungku Berakas,kerapah heath forest,peat,leaf,mg.g-1,nitrogen,21.23,Yusoff.2015
Acacia mangium,Fabaceae,Australia/PNG (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.448,DRYAD
Acacia mangium,Fabaceae,Australia/PNG (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.474,DRYAD
Acacia mangium,Fabaceae,NA,NA,NA,NA,unknown,wood,g.cm-3,wood density,0.532,ICRAF
Acacia mangium,Fabaceae,Australia/PNG (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.49,DRYAD
Acacia mangium,Fabaceae,NA,NA,NA,NA,unknown,wood,g.cm-3,wood density,0.61,PROSEA
Acacia mangium,Fabaceae,Australia/PNG (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.55,DRYAD
Acacia mangium,Fabaceae,Australia/PNG (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.594,DRYAD
Acacia mangium,Fabaceae,Australia/PNG (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.519,DRYAD
Acacia mangium,Fabaceae,Australia/PNG (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.474,DRYAD
Acacia mangium,Fabaceae,Thailand,Narathiwat,To Daeng,peat swamp forest secondary,peat,leaf,g.kg-1,potassium,1.2,Yanbuaban.et.al.2007
Acacia mangium,Fabaceae,Thailand,Narathiwat,To Daeng,peat swamp forest secondary,peat,leaf,g.kg-1,phosphorus,0.1,Yanbuaban.et.al.2007
Acacia mangium,Fabaceae,Thailand,Narathiwat,To Daeng,peat swamp forest secondary,peat,leaf,g.kg-1,nitrogen,17.4,Yanbuaban.et.al.2007
Adenanthera pavonina,Fabaceae,India,NA,NA,NA,unknown,wood,g.cm-3,wood density,0.88,DRYAD
Adenanthera pavonina,Fabaceae,Australia/PNG (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.775,DRYAD
Adenanthera pavonina,Fabaceae,China,NA,NA,NA,unknown,wood,g.cm-3,wood density,0.637,DRYAD
Adenanthera pavonina,Fabaceae,South-East Asia (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.77,DRYAD
Adenanthera pavonina,Fabaceae,China,NA,NA,NA,unknown,wood,g.cm-3,wood density,0.68,DRYAD
Adenanthera pavonina,Fabaceae,South-East Asia (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.7,DRYAD
Adenanthera pavonina,Fabaceae,NA,NA,NA,NA,unknown,wood,g.cm-3,wood density,0.7237,ICRAF
Adenanthera pavonina,Fabaceae,South-East Asia (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.57,DRYAD
Adenanthera pavonina,Fabaceae,China,NA,NA,NA,unknown,wood,g.cm-3,wood density,0.573,DRYAD
Adenanthera pavonina,Fabaceae,China,NA,NA,NA,unknown,wood,g.cm-3,wood density,0.598,DRYAD
Agathis borneensis,Araucariaceae,Brunei Darussalam,Belait District,Lumut,kerapah heath forest,peat,leaf,mg.g-1,magnesium,2.6,Raffle.2019
Agathis borneensis,Araucariaceae,NA,NA,NA,NA,unknown,wood,g.cm-3,wood density,0.465,PROSEA
Agathis borneensis,Araucariaceae,Brunei Darussalam,Belait District,Lumut,kerapah heath forest,peat,leaf,mg.g-1,nitrogen,16.14,Raffle.2019
Agathis borneensis,Araucariaceae,Brunei Darussalam,Belait District,Lumut,kerapah heath forest,peat,leaf,mg.g-1,calcium,17.64,Raffle.2019
Agathis borneensis,Araucariaceae,Brunei Darussalam,Belait District,Lumut,kerapah heath forest,peat,leaf,mg.g-1,potassium,2.32,Raffle.2019
Agathis borneensis,Araucariaceae,NA,NA,NA,NA,unknown,wood,g.cm-3,wood density,0.4705,ICRAF
Agathis borneensis,Araucariaceae,South-East Asia (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.4,DRYAD
Agathis borneensis,Araucariaceae,South-East Asia (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.37,DRYAD
Agathis borneensis,Araucariaceae,South-East Asia (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.38,DRYAD
Agathis borneensis,Araucariaceae,Brunei Darussalam,Belait District,Lumut,kerapah heath forest,peat,leaf,mg.g-1,phosphorus,1.84,Raffle.2019
Aglaia rubiginosa,Meliaceae,Indonesia,Central Kalimatan,Mawas Conservation Area,peat swamp forest,peat,leaf,g.kg-1,nitrogen,11.4,Wedeux.2015
Aglaia rubiginosa,Meliaceae,Indonesia,Central Kalimatan,Mawas Conservation Area,peat swamp forest,peat,leaf,g.kg-1,potassium,5.4,Wedeux.2015
Aglaia rubiginosa,Meliaceae,Thailand,Narathiwat,To Daeng,peat swamp forest secondary,peat,leaf,g.kg-1,magnesium,0.4,Yanbuaban.et.al.2007
Aglaia rubiginosa,Meliaceae,Indonesia,Central Kalimatan,Mawas Conservation Area,peat swamp forest,peat,leaf,g.kg-1,nitrogen,10,Wedeux.2015
Aglaia rubiginosa,Meliaceae,Indonesia,Central Kalimatan,Lahei,kerapah heath forest,peat,leaf,g.kg-1,magnesium,4.5,Tuah.et.al.2003
Aglaia rubiginosa,Meliaceae,Indonesia,Central Kalimatan,Mawas Conservation Area,peat swamp forest,peat,leaf,g.kg-1,phosphorus,0.61,Wedeux.2015
Aglaia rubiginosa,Meliaceae,Indonesia,Central Kalimatan,Lahei,kerapah heath forest,peat,leaf,g.kg-1,potassium,7.7,Tuah.et.al.2003
Aglaia rubiginosa,Meliaceae,Thailand,Narathiwat,To Daeng,peat swamp forest primary,peat,leaf,g.kg-1,nitrogen,12.5,Yanbuaban.et.al.2007
Aglaia rubiginosa,Meliaceae,Indonesia,Central Kalimatan,Mawas Conservation Area,peat swamp forest,peat,leaf,g.kg-1,nitrogen,10.8,Wedeux.2015
Aglaia rubiginosa,Meliaceae,Thailand,Narathiwat,To Daeng,peat swamp forest secondary,peat,leaf,g.kg-1,calcium,3,Yanbuaban.et.al.2007
Aglaia rubiginosa,Meliaceae,Indonesia,Central Kalimatan,Mawas Conservation Area,peat swamp forest,peat,leaf,g.kg-1,phosphorus,1.73,Wedeux.2015
Aglaia rubiginosa,Meliaceae,Indonesia,Central Kalimatan,Mawas Conservation Area,peat swamp forest,peat,leaf,g.kg-1,calcium,5.8,Wedeux.2015
Aglaia rubiginosa,Meliaceae,Thailand,Narathiwat,To Daeng,peat swamp forest secondary,peat,leaf,g.kg-1,potassium,5.8,Yanbuaban.et.al.2007
Aglaia rubiginosa,Meliaceae,Indonesia,Central Kalimatan,Mawas Conservation Area,peat swamp forest,peat,leaf,g.kg-1,nitrogen,12,Wedeux.2015
Aglaia rubiginosa,Meliaceae,Thailand,Narathiwat,To Daeng,peat swamp forest primary,peat,leaf,g.kg-1,phosphorus,0.2,Yanbuaban.et.al.2007
Aglaia rubiginosa,Meliaceae,Indonesia,Central Kalimatan,Mawas Conservation Area,peat swamp forest,peat,leaf,g.kg-1,magnesium,2.5,Wedeux.2015
Aglaia rubiginosa,Meliaceae,Indonesia,Central Kalimatan,Mawas Conservation Area,peat swamp forest,peat,leaf,g.kg-1,potassium,4,Wedeux.2015
Aglaia rubiginosa,Meliaceae,Indonesia,Central Kalimatan,Mawas Conservation Area,peat swamp forest,peat,leaf,g.kg-1,magnesium,3.2,Wedeux.2015
Aglaia rubiginosa,Meliaceae,Indonesia,Central Kalimatan,Lahei,kerapah heath forest,peat,leaf,g.kg-1,phosphorus,1.1,Tuah.et.al.2003
Aglaia rubiginosa,Meliaceae,Indonesia,Central Kalimatan,Lahei,kerapah heath forest,peat,leaf,g.kg-1,calcium,2.9,Tuah.et.al.2003
Aglaia rubiginosa,Meliaceae,South-East Asia (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.76,DRYAD
Aglaia rubiginosa,Meliaceae,NA,NA,NA,NA,unknown,wood,g.cm-3,wood density,0.93,PROSEA
Aglaia rubiginosa,Meliaceae,Thailand,Narathiwat,To Daeng,peat swamp forest secondary,peat,leaf,g.kg-1,nitrogen,7.5,Yanbuaban.et.al.2007
Aglaia rubiginosa,Meliaceae,Indonesia,Central Kalimatan,Mawas Conservation Area,peat swamp forest,peat,leaf,g.kg-1,potassium,3.6,Wedeux.2015
Aglaia rubiginosa,Meliaceae,Thailand,Narathiwat,To Daeng,peat swamp forest primary,peat,leaf,g.kg-1,magnesium,1.6,Yanbuaban.et.al.2007
Aglaia rubiginosa,Meliaceae,Thailand,Narathiwat,To Daeng,peat swamp forest primary,peat,leaf,g.kg-1,potassium,3.9,Yanbuaban.et.al.2007
Aglaia rubiginosa,Meliaceae,Indonesia,Central Kalimatan,Mawas Conservation Area,peat swamp forest,peat,leaf,g.kg-1,magnesium,2.6,Wedeux.2015
Aglaia rubiginosa,Meliaceae,Indonesia,Central Kalimatan,Lahei,kerapah heath forest,peat,leaf,g.kg-1,nitrogen,22.7,Tuah.et.al.2003
Aglaia rubiginosa,Meliaceae,Indonesia,Central Kalimatan,Mawas Conservation Area,peat swamp forest,peat,leaf,g.kg-1,calcium,10.7,Wedeux.2015
Aglaia rubiginosa,Meliaceae,Thailand,Narathiwat,To Daeng,peat swamp forest secondary,peat,leaf,g.kg-1,phosphorus,0.1,Yanbuaban.et.al.2007
Aglaia rubiginosa,Meliaceae,Indonesia,Central Kalimatan,Mawas Conservation Area,peat swamp forest,peat,leaf,g.kg-1,calcium,10.6,Wedeux.2015
Aglaia rubiginosa,Meliaceae,South-East Asia (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.76,DRYAD
Aglaia rubiginosa,Meliaceae,NA,NA,NA,NA,unknown,wood,g.cm-3,wood density,0.866,ICRAF
Aglaia rubiginosa,Meliaceae,Indonesia,Central Kalimatan,Mawas Conservation Area,peat swamp forest,peat,leaf,g.kg-1,phosphorus,0.72,Wedeux.2015
Aglaia rubiginosa,Meliaceae,Indonesia,Central Kalimatan,Mawas Conservation Area,peat swamp forest,peat,leaf,g.kg-1,phosphorus,0.73,Wedeux.2015
Aglaia rubiginosa,Meliaceae,Indonesia,Central Kalimatan,Mawas Conservation Area,peat swamp forest,peat,leaf,g.kg-1,magnesium,2.5,Wedeux.2015
Aglaia rubiginosa,Meliaceae,Indonesia,Central Kalimatan,Mawas Conservation Area,peat swamp forest,peat,leaf,g.kg-1,calcium,7.5,Wedeux.2015
Aglaia rubiginosa,Meliaceae,Indonesia,Central Kalimatan,Mawas Conservation Area,peat swamp forest,peat,leaf,g.kg-1,potassium,8.9,Wedeux.2015
Aglaia rubiginosa,Meliaceae,Thailand,Narathiwat,To Daeng,peat swamp forest primary,peat,leaf,g.kg-1,calcium,10.3,Yanbuaban.et.al.2007
Alseodaphne coriacea,Lauraceae,Indonesia,Central Kalimatan,Setia Alam,peat swamp forest primary riverine,peat,leaf,g.kg-1,magnesium,3,Tuah.et.al.2003
Alseodaphne coriacea,Lauraceae,Indonesia,Central Kalimatan,Setia Alam,peat swamp forest dense-pole,peat,leaf,g.kg-1,magnesium,2.6,Tuah.et.al.2003
Alseodaphne coriacea,Lauraceae,Indonesia,Central Kalimatan,Setia Alam,peat swamp forest dense-pole,peat,leaf,g.kg-1,potassium,5.6,Tuah.et.al.2003
Alseodaphne coriacea,Lauraceae,Indonesia,Central Kalimatan,Setia Alam,peat swamp forest dense-pole,peat,leaf,g.kg-1,nitrogen,8.5,Tuah.et.al.2003
Alseodaphne coriacea,Lauraceae,Indonesia,Central Kalimatan,Setia Alam,peat swamp forest primary riverine,peat,leaf,g.kg-1,calcium,5.2,Tuah.et.al.2003
Alseodaphne coriacea,Lauraceae,Indonesia,Central Kalimatan,Setia Alam,peat swamp forest primary riverine,peat,leaf,g.kg-1,phosphorus,0.3,Tuah.et.al.2003
Alseodaphne coriacea,Lauraceae,Indonesia,Central Kalimatan,Setia Alam,peat swamp forest primary riverine,peat,leaf,g.kg-1,potassium,8.4,Tuah.et.al.2003
Alseodaphne coriacea,Lauraceae,Indonesia,Central Kalimatan,Setia Alam,peat swamp forest dense-pole,peat,leaf,g.kg-1,phosphorus,0.2,Tuah.et.al.2003
Alseodaphne coriacea,Lauraceae,Indonesia,Central Kalimatan,Setia Alam,peat swamp forest dense-pole,peat,leaf,g.kg-1,calcium,13.6,Tuah.et.al.2003
Alseodaphne coriacea,Lauraceae,Indonesia,Central Kalimatan,Setia Alam,peat swamp forest primary riverine,peat,leaf,g.kg-1,nitrogen,6.2,Tuah.et.al.2003
Alstonia pneumatophora,Apocynaceae,South-East Asia (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.27,DRYAD
Alstonia pneumatophora,Apocynaceae,South-East Asia (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.32,DRYAD
Alstonia pneumatophora,Apocynaceae,NA,NA,NA,NA,unknown,wood,g.cm-3,wood density,0.3325,ICRAF
Alstonia pneumatophora,Apocynaceae,NA,NA,NA,NA,unknown,wood,g.cm-3,wood density,0.4,PROSEA
Alstonia scholaris,Apocynaceae,India,NA,NA,NA,unknown,wood,g.cm-3,wood density,0.44,DRYAD
Alstonia scholaris,Apocynaceae,South-East Asia (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.57,DRYAD
Alstonia scholaris,Apocynaceae,Philippines,NA,NA,NA,unknown,wood,g.cm-3,wood density,0.38,Saito.et.al.2016
Alstonia scholaris,Apocynaceae,Indonesia,NA,NA,NA,unknown,wood,g.cm-3,wood density,0.38,Saito.et.al.2016
Alstonia scholaris,Apocynaceae,South-East Asia (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.33,DRYAD
Alstonia scholaris,Apocynaceae,Australia,NA,NA,NA,unknown,wood,g.cm-3,wood density,0.339,DRYAD
Alstonia scholaris,Apocynaceae,Australia/PNG (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.344,DRYAD
Alstonia scholaris,Apocynaceae,New Guinea,NA,NA,NA,unknown,wood,g.cm-3,wood density,0.42,Saito.et.al.2016
Alstonia scholaris,Apocynaceae,Australia/PNG (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.327,DRYAD
Alstonia scholaris,Apocynaceae,China,NA,NA,NA,unknown,wood,g.cm-3,wood density,0.427,DRYAD
Alstonia scholaris,Apocynaceae,South-East Asia (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.29,DRYAD
Alstonia scholaris,Apocynaceae,South-East Asia (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.35,DRYAD
Alstonia scholaris,Apocynaceae,NA,NA,NA,NA,unknown,wood,g.cm-3,wood density,0.3973,ICRAF
Alstonia scholaris,Apocynaceae,China,NA,NA,NA,unknown,wood,g.cm-3,wood density,0.403,DRYAD
Alstonia spatulata,Apocynaceae,Thailand,Narathiwat,To Daeng,peat swamp forest secondary,peat,leaf,g.kg-1,potassium,9.3,Yanbuaban.et.al.2007
Alstonia spatulata,Apocynaceae,Thailand,Narathiwat,To Daeng,peat swamp forest secondary,peat,leaf,g.kg-1,nitrogen,15.6,Yanbuaban.et.al.2007
Alstonia spatulata,Apocynaceae,Thailand,Narathiwat,To Daeng,peat swamp forest secondary,peat,leaf,g.kg-1,calcium,7,Yanbuaban.et.al.2007
Alstonia spatulata,Apocynaceae,Thailand,Narathiwat,To Daeng,peat swamp forest secondary,peat,leaf,g.kg-1,magnesium,1.2,Yanbuaban.et.al.2007
Alstonia spatulata,Apocynaceae,NA,NA,NA,NA,unknown,wood,g.cm-3,wood density,0.28,ICRAF
Alstonia spatulata,Apocynaceae,Thailand,Narathiwat,To Daeng,peat swamp forest secondary,peat,leaf,g.kg-1,phosphorus,0.5,Yanbuaban.et.al.2007
Alstonia spatulata,Apocynaceae,South-East Asia (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.34,DRYAD
Anisoptera marginata,Dipterocarpaceae,Malaysia,Selangor,Raja Musa Forest Reserve Compartment 104,peat swamp forest open degraded,peat,leaf,mg.g-1,calcium,14.98530574,Ismail.2001
Anisoptera marginata,Dipterocarpaceae,Malaysia,Selangor,Raja Musa Forest Reserve Compartment 101,peat swamp forest open degraded,peat,leaf,mg.g-1,nitrogen,15.33542977,Ismail.2001
Anisoptera marginata,Dipterocarpaceae,Malaysia,Selangor,Raja Musa Forest Reserve Compartment 105,peat swamp forest open degraded,peat,leaf,mg.g-1,magnesium,0.59649123,Ismail.2001
Anisoptera marginata,Dipterocarpaceae,Malaysia,Selangor,Raja Musa Forest Reserve Compartment 119,peat swamp forest open degraded,peat,leaf,mg.g-1,calcium,10.41809411,Ismail.2001
Anisoptera marginata,Dipterocarpaceae,Malaysia,Selangor,Raja Musa Forest Reserve Compartment 110,peat swamp forest open degraded,peat,leaf,mg.g-1,magnesium,0.40350877,Ismail.2001
Anisoptera marginata,Dipterocarpaceae,Malaysia,Selangor,Raja Musa Forest Reserve Compartment 114,peat swamp forest open degraded,peat,leaf,mg.g-1,calcium,5.24627067,Ismail.2001
Anisoptera marginata,Dipterocarpaceae,Malaysia,Selangor,Raja Musa Forest Reserve Compartment 113,peat swamp forest open degraded,peat,leaf,mg.g-1,potassium,6.55737705,Ismail.2001
Anisoptera marginata,Dipterocarpaceae,Malaysia,Selangor,Raja Musa Forest Reserve Compartment 103,peat swamp forest open degraded,peat,leaf,mg.g-1,potassium,8.41530055,Ismail.2001
Anisoptera marginata,Dipterocarpaceae,Malaysia,Selangor,Raja Musa Forest Reserve Compartment 108,peat swamp forest open degraded,peat,leaf,mg.g-1,potassium,1.96721311,Ismail.2001
Anisoptera marginata,Dipterocarpaceae,Malaysia,Selangor,Raja Musa Forest Reserve Compartment 120,peat swamp forest open degraded,peat,leaf,mg.g-1,magnesium,0.73684211,Ismail.2001
Anisoptera marginata,Dipterocarpaceae,Malaysia,Selangor,Raja Musa Forest Reserve Compartment 111,peat swamp forest open degraded,peat,leaf,mg.g-1,nitrogen,15.44461915,Ismail.2001
Anisoptera marginata,Dipterocarpaceae,Malaysia,Selangor,Raja Musa Forest Reserve Compartment 116,peat swamp forest open degraded,peat,leaf,mg.g-1,nitrogen,14.89867226,Ismail.2001
Anisoptera marginata,Dipterocarpaceae,Malaysia,Selangor,Raja Musa Forest Reserve Compartment 118,peat swamp forest open degraded,peat,leaf,mg.g-1,potassium,1.74863388,Ismail.2001
Anisoptera marginata,Dipterocarpaceae,Malaysia,Selangor,Raja Musa Forest Reserve Compartment 113,peat swamp forest open degraded,peat,leaf,mg.g-1,potassium,1.74863388,Ismail.2001
Anisoptera marginata,Dipterocarpaceae,Malaysia,Selangor,Raja Musa Forest Reserve Compartment 119,peat swamp forest open degraded,peat,leaf,mg.g-1,calcium,5.47279098,Ismail.2001
Anisoptera marginata,Dipterocarpaceae,Malaysia,Selangor,Raja Musa Forest Reserve Compartment 116,peat swamp forest open degraded,peat,leaf,mg.g-1,nitrogen,16.20894479,Ismail.2001
Anisoptera marginata,Dipterocarpaceae,Malaysia,Selangor,Raja Musa Forest Reserve Compartment 105,peat swamp forest open degraded,peat,leaf,mg.g-1,magnesium,0.80701754,Ismail.2001
Anisoptera marginata,Dipterocarpaceae,NA,NA,NA,NA,unknown,wood,g.cm-3,wood density,0.66,PROSEA
Anisoptera marginata,Dipterocarpaceae,Malaysia,Selangor,Raja Musa Forest Reserve Compartment 109,peat swamp forest open degraded,peat,leaf,mg.g-1,calcium,8.03845975,Ismail.2001
Anisoptera marginata,Dipterocarpaceae,South-East Asia (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.54,DRYAD
Anisoptera marginata,Dipterocarpaceae,Indonesia,NA,NA,NA,unknown,wood,g.cm-3,wood density,0.59,Saito.et.al.2016
Anisoptera marginata,Dipterocarpaceae,South-East Asia (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.53,DRYAD
Anisoptera marginata,Dipterocarpaceae,NA,NA,NA,NA,unknown,wood,g.cm-3,wood density,0.5993,ICRAF
Anisoptera marginata,Dipterocarpaceae,Malaysia,Selangor,Raja Musa Forest Reserve Compartment 117,peat swamp forest open degraded,peat,leaf,mg.g-1,phosphorus,0.87431694,Ismail.2001
Anisoptera marginata,Dipterocarpaceae,Malaysia,Selangor,Raja Musa Forest Reserve Compartment 118,peat swamp forest open degraded,peat,leaf,mg.g-1,potassium,7.54098361,Ismail.2001
Anisoptera marginata,Dipterocarpaceae,Malaysia,Selangor,Raja Musa Forest Reserve Compartment 115,peat swamp forest open degraded,peat,leaf,mg.g-1,magnesium,0.71929825,Ismail.2001
Anisoptera marginata,Dipterocarpaceae,Malaysia,Selangor,Raja Musa Forest Reserve Compartment 108,peat swamp forest open degraded,peat,leaf,mg.g-1,potassium,7.54098361,Ismail.2001
Anisoptera marginata,Dipterocarpaceae,Malaysia,Selangor,Raja Musa Forest Reserve Compartment 107,peat swamp forest open degraded,peat,leaf,mg.g-1,phosphorus,0.85245902,Ismail.2001
Anisoptera marginata,Dipterocarpaceae,Malaysia,Selangor,Raja Musa Forest Reserve Compartment 114,peat swamp forest open degraded,peat,leaf,mg.g-1,calcium,13.87211064,Ismail.2001
Anisoptera marginata,Dipterocarpaceae,Malaysia,Selangor,Raja Musa Forest Reserve Compartment 120,peat swamp forest open degraded,peat,leaf,mg.g-1,magnesium,0.63157895,Ismail.2001
Anisoptera marginata,Dipterocarpaceae,Malaysia,Selangor,Raja Musa Forest Reserve Compartment 109,peat swamp forest open degraded,peat,leaf,mg.g-1,calcium,4.56570595,Ismail.2001
Anisoptera marginata,Dipterocarpaceae,Malaysia,Selangor,Raja Musa Forest Reserve Compartment 106,peat swamp forest open degraded,peat,leaf,mg.g-1,nitrogen,12.93326345,Ismail.2001
Anisoptera marginata,Dipterocarpaceae,Malaysia,Selangor,Raja Musa Forest Reserve Compartment 106,peat swamp forest open degraded,peat,leaf,mg.g-1,nitrogen,15.77218728,Ismail.2001
Anisoptera marginata,Dipterocarpaceae,Malaysia,Selangor,Raja Musa Forest Reserve Compartment 103,peat swamp forest open degraded,peat,leaf,mg.g-1,potassium,2.29508197,Ismail.2001
Anisoptera marginata,Dipterocarpaceae,Malaysia,Selangor,Raja Musa Forest Reserve Compartment 102,peat swamp forest open degraded,peat,leaf,mg.g-1,phosphorus,0.80874317,Ismail.2001
Anisoptera marginata,Dipterocarpaceae,Malaysia,Selangor,Raja Musa Forest Reserve Compartment 115,peat swamp forest open degraded,peat,leaf,mg.g-1,magnesium,0.42105263,Ismail.2001
Anisoptera marginata,Dipterocarpaceae,Malaysia,Selangor,Raja Musa Forest Reserve Compartment 111,peat swamp forest open degraded,peat,leaf,mg.g-1,nitrogen,16.42732355,Ismail.2001
Anisoptera marginata,Dipterocarpaceae,Malaysia,Selangor,Raja Musa Forest Reserve Compartment 107,peat swamp forest open degraded,peat,leaf,mg.g-1,phosphorus,0.72131148,Ismail.2001
Anisoptera marginata,Dipterocarpaceae,Malaysia,Selangor,Raja Musa Forest Reserve Compartment 102,peat swamp forest open degraded,peat,leaf,mg.g-1,phosphorus,0.83060109,Ismail.2001
Anisoptera marginata,Dipterocarpaceae,Indonesia,NA,NA,NA,unknown,wood,g.cm-3,wood density,0.51,Saito.et.al.2016
Anisoptera marginata,Dipterocarpaceae,Malaysia,Selangor,Raja Musa Forest Reserve,peat swamp forest logged,peat,wood,g.cm-3,wood density,0.64,Anon.1987
Anisoptera marginata,Dipterocarpaceae,Malaysia,Selangor,Raja Musa Forest Reserve Compartment 112,peat swamp forest open degraded,peat,leaf,mg.g-1,phosphorus,0.85245902,Ismail.2001
Anisoptera marginata,Dipterocarpaceae,Malaysia,Selangor,Raja Musa Forest Reserve Compartment 110,peat swamp forest open degraded,peat,leaf,mg.g-1,magnesium,0.71929825,Ismail.2001
Anisoptera marginata,Dipterocarpaceae,Malaysia,Selangor,Raja Musa Forest Reserve Compartment 117,peat swamp forest open degraded,peat,leaf,mg.g-1,phosphorus,0.75409836,Ismail.2001
Anisoptera marginata,Dipterocarpaceae,Malaysia,Selangor,Raja Musa Forest Reserve Compartment 101,peat swamp forest open degraded,peat,leaf,mg.g-1,nitrogen,15.99056604,Ismail.2001
Anisoptera marginata,Dipterocarpaceae,Malaysia,Selangor,Raja Musa Forest Reserve Compartment 104,peat swamp forest open degraded,peat,leaf,mg.g-1,calcium,15.97135501,Ismail.2001
Anisoptera marginata,Dipterocarpaceae,Malaysia,Selangor,Raja Musa Forest Reserve Compartment 112,peat swamp forest open degraded,peat,leaf,mg.g-1,phosphorus,0.6557377,Ismail.2001
Anisoptera marginata,Dipterocarpaceae,South-East Asia (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.51,DRYAD
Anisoptera reticulata,Dipterocarpaceae,Brunei Darussalam,Belait District,Lumut,kerapah heath forest,peat,leaf,mg.g-1,calcium,10.8,Raffle.2019
Anisoptera reticulata,Dipterocarpaceae,Brunei Darussalam,Belait District,Lumut,kerapah heath forest,peat,leaf,mg.g-1,nitrogen,28.51,Raffle.2019
Anisoptera reticulata,Dipterocarpaceae,Brunei Darussalam,Belait District,Lumut,kerapah heath forest,peat,leaf,mg.g-1,phosphorus,1.87,Raffle.2019
Anisoptera reticulata,Dipterocarpaceae,Brunei Darussalam,Belait District,Lumut,kerapah heath forest,peat,leaf,mg.g-1,potassium,3.01,Raffle.2019
Anisoptera reticulata,Dipterocarpaceae,Brunei Darussalam,Belait District,Lumut,kerapah heath forest,peat,leaf,mg.g-1,magnesium,1.82,Raffle.2019
Annona muricata,Annonaceae,NA,NA,NA,NA,unknown,wood,g.cm-3,wood density,0.4,ICRAF
Annona muricata,Annonaceae,South America (tropical),NA,NA,NA,unknown,wood,g.cm-3,wood density,0.32,DRYAD
