Study_ID;Short_citation;Year;Growth_Habit;Species_Status;Mechanism;Disturbance_type;Ln_Overall;Ln_Overall_Var;Ln_Abundance;Ln_Abundance_Var;Ln_Biomass;Ln_Biomass_Var;Ln_Reproduction;Ln_Reproduction_Var;Ln_Richness;Ln_Richness_Var;Ln_Survival;Ln_Survival_Var;Ln_Damage;Ln_Damage_Var;Ln_HerbLoad;Ln_HerbLoad_Var;ETP;Latitude_Abs;Precipitation;Temperature
1;Badano et al. ;2007;Forb;Exotic;Facilitation;NA;0.18;0.02;0.42;0.02;-0.06;0.03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;954;33;900;3
1;Badano et al. ;2007;Forb;Exotic;Facilitation;NA;0.95;0.13;1.18;0.15;0.72;0.12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;954;33;900;1.78
1;Badano et al. ;2007;Forb;Exotic;Facilitation;NA;1.19;0.25;1.05;0.19;1.33;0.31;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;954;33;900;0.56
1;Badano et al. ;2007;Forb;Exotic;Facilitation;NA;2.05;0.13;2.1;0.17;2.01;0.1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;954;33;900;3
1;Badano et al. ;2007;Forb;Exotic;Facilitation;NA;4.07;0.27;4.11;0.31;4.03;0.23;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;954;33;900;1.78
1;Badano et al. ;2007;Forb;Exotic;Facilitation;NA;7.78;0.05;8.81;0.05;6.76;0.05;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;954;33;900;0.56
2;Badano et al.;2015;Forb;Exotic;Facilitation;NA;1.17;0.06;1.17;0.06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1098;33;900;0.4
3;Becerra & Bustamante;2011;Tree;Exotic;Facilitation;NA;-0.02;0.28;NA;NA;NA;NA;0.87;0.42;NA;NA;-0.91;0.14;NA;NA;NA;NA;1662;33;347;15
3;Becerra & Bustamante;2011;Tree;Exotic;Facilitation;NA;-0.39;0.69;NA;NA;NA;NA;0.76;0.62;NA;NA;-1.54;0.76;NA;NA;NA;NA;1662;33;347;15
7;Cavieres et al.;2005;Forb;Exotic;Facilitation;NA;0.47;0.03;0.47;0.03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1172;33;943;3.1
8;Cavieres et al.;2008;Forb;Invasive;Facilitation;NA;0.41;0.31;0.8;0.62;NA;NA;0.03;0.0002;NA;NA;NA;NA;NA;NA;NA;NA;1172;33;943;3.1
9;Cushman et al. ;2011;Grass;Invasive;Facilitation;NA;1.06;0.6;NA;NA;0.89;0.66;1.23;0.54;NA;NA;NA;NA;NA;NA;NA;NA;1258;38;1001;12.8
10;Griffith;2010;Grass;Invasive;Facilitation;NA;0.43;0.06;0.22;0.004;NA;NA;0.64;0.11;NA;NA;NA;NA;NA;NA;NA;NA;1837;37;405;6.5
11;Kleinhesselink et al.;2014;Grass;Invasive;Facilitation;NA;0.91;0.37;NA;NA;0.16;0.01;NA;NA;NA;NA;1.67;0.74;NA;NA;NA;NA;NA;38;998;12.8
12;Lenz & Facelli;2003;Forb;Invasive;Facilitation;NA;0.74;0.37;NA;NA;NA;NA;0.73;0.62;NA;NA;0.75;0.11;NA;NA;NA;NA;2526;32;275;18.5
13;Madrigal-González et al. ;2013;Forb;Exotic;Facilitation;NA;1.23;0.01;NA;NA;1.23;0.01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1299;29;40;14.7
14;Maron & Connors;1996;Forb;Exotic;Facilitation;NA;0.61;0.001;NA;NA;0.61;0.001;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2728;38;1012;12.7
17;Rodríguez-Buriticá & Miriti;2009;Grass;Invasive;Facilitation;NA;0.1;0.17;0.26;0.32;-0.06;0.02;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1167;33;119;17.7
18;Saccone et al. ;2010;Tree;Exotic;Facilitation;NA;0.63;1.66;NA;NA;NA;NA;NA;NA;NA;NA;0.63;1.66;NA;NA;NA;NA;1230;45;799;12.3
452;Del Fabbro et al. ;2013;Forb;Invasive;Novel Weapons;NA;0.08;0.02;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;929;46;888;9.1
452;Del Fabbro et al. ;2013;Forb;Invasive;Novel Weapons;NA;0.35;0.03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;929;46;888;9.1
452;Del Fabbro et al. ;2013;Forb;Invasive;Novel Weapons;NA;0.09;0.03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;929;46;888;9.1
455;Siemens & Blossey;2007;Forb;Invasive;Novel Weapons;NA;-0.99;3.42;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;995;42;908;7.1
456;Thelen et al. ;2005;Forb;Invasive;Novel Weapons;NA;-0.57;2.00;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1232;46;354;6.4
457;Thorpe et al. ;2009;Forb;Invasive;Novel Weapons;NA;-1.00;2.00;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1232;46;354;6.4
458;Tian et al. ;2007;Forb;Invasive;Novel Weapons;NA;-0.28;0.01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1414;22;1625;18.9
