Study_ID;Short_citation;Year;Growth_Habit;Species_Status;Mechanism;Disturbance_type;Ln_Overall;Ln_Overall_Var;Ln_Abundance;Ln_Abundance_Var;Ln_Biomass;Ln_Biomass_Var;Ln_Reproduction;Ln_Reproduction_Var;Ln_Richness;Ln_Richness_Var;Ln_Survival;Ln_Survival_Var;Ln_Damage;Ln_Damage_Var;Ln_HerbLoad;Ln_HerbLoad_Var;ETP;Latitude_Abs;Precipitation;Temperature
253;Jesson et al. ;2000;Forb;Exotic;Disturbance;Soil Disturbance;-0.02;0.12;NA;NA;NA;NA;NA;NA;NA;NA;-0.02;0.12;NA;NA;NA;NA;1099;42;4000;5.4
253;Jesson et al. ;2000;Grass;Exotic;Disturbance;Anthropogenic;-0.05;0.16;NA;NA;NA;NA;NA;NA;NA;NA;-0.05;0.16;NA;NA;NA;NA;1099;42;4000;5.4
253;Jesson et al. ;2000;Forb;Exotic;Disturbance;Soil Disturbance;-0.77;0.35;NA;NA;NA;NA;NA;NA;NA;NA;-0.77;0.35;NA;NA;NA;NA;1099;42;4000;5.4
258;Kotanen;1997;Mixed;Exotic;Disturbance;Soil Disturbance;-1.01;1.03;-1.01;1.03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1200;39;1561;10.8
258;Kotanen;1997;Grass;Exotic;Disturbance;Soil Disturbance;-1.36;1.85;-1.36;1.85;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1200;39;1561;10.8
261;Lee & Thompson ;2012;Shrub;Exotic;Disturbance;Anthropogenic;4;1.69;4;1.69;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1113;43;1107;8.1
263;Li et al. ;2009;Forb;Exotic;Disturbance;Soil Disturbance;2.07;0.11;2.43;0.22;NA;NA;1.72;0.01;NA;NA;NA;NA;NA;NA;NA;NA;885;37;560;1.6
264;Loydi et al. ;2010;Mixed;Exotic;Disturbance;Grazing;0.68;0.17;1.02;0.21;NA;NA;NA;NA;0.35;0.12;NA;NA;NA;NA;NA;NA;1547;38;800;13
265;MacDougall & Turkington ;2005;Mixed;Exotic;Disturbance;Plant Removal;1.31;0.48;1.31;0.48;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;901;48;950;9.1
266;Maron et al. ;2013;Forb;Exotic;Disturbance;Soil Disturbance;0.61;0.25;0.61;0.25;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1248;46;386;6.4
267;Maron et al. ;2014;Mixed;Exotic;Disturbance;Plant Removal;0.45;0.21;0.45;0.21;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1248;38;1151;13.7
267;Maron et al. ;2014;Mixed;Exotic;Disturbance;Plant Removal;1.42;2.42;1.42;2.42;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1597;46;405;4.7
267;Maron et al. ;2014;Mixed;Exotic;Disturbance;Plant Removal;0.46;9.59;0.46;9.59;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;867;51;497;8.9
268;Masocha et al. ;2011;Mixed;Exotic;Disturbance;Fire;1.22;0.15;1.13;0.25;NA;NA;NA;NA;1.32;0.06;NA;NA;NA;NA;NA;NA;1805;18;885;17
268;Masocha et al. ;2011;Mixed;Exotic;Disturbance;Fire;1.09;0.21;1.09;0.21;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1805;18;885;17
268;Masocha et al. ;2011;Tree;Exotic;Disturbance;Fire;8.82;0.58;8.82;0.58;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1805;18;885;17
268;Masocha et al. ;2011;Forb;Exotic;Disturbance;Fire;2.33;1.29;2.33;1.29;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1805;18;885;17
268;Masocha et al. ;2011;Forb;Exotic;Disturbance;Fire;2.48;1.29;2.48;1.29;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1805;18;885;17
268;Masocha et al. ;2011;Forb;Exotic;Disturbance;Fire;2.82;1.39;2.82;1.39;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1805;18;885;17
268;Masocha et al. ;2011;Forb;Exotic;Disturbance;Fire;1.98;1.48;1.98;1.48;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1805;18;885;17
268;Masocha et al. ;2011;Forb;Exotic;Disturbance;Fire;2.15;1.64;2.15;1.64;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1805;18;885;17
268;Masocha et al. ;2011;Mixed;Exotic;Disturbance;Fire;2.99;4.92;2.99;4.92;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1805;18;885;17
269;Mazia et al. ;2001;Tree;Invasive;Disturbance;Soil Disturbance;0.58;0.39;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1534;36;300;15.4
269;Mazia et al. ;2001;Tree;Invasive;Disturbance;Plant Removal;2.48;0.75;2.48;0.75;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1534;36;300;15.4
269;Mazia et al. ;2001;Tree;Invasive;Disturbance;Soil Disturbance;-1.39;1.54;-1.39;1.54;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1534;36;300;15.4
276;Kyle et al. ;2008;Grass;Exotic;Disturbance;Soil Disturbance;0.61;0.04;0.61;0.04;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1330;48;300;4.5
276;Kyle et al. ;2008;Grass;Exotic;Disturbance;Soil Disturbance;0;0.05;0;0.05;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1330;48;300;4.5
276;Kyle et al. ;2008;Forb;Exotic;Disturbance;Soil Disturbance;0.98;0.18;0.98;0.18;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1330;48;300;4.5
284;Quiroz et al. ;2011;Forb;Exotic;Disturbance;Anthropogenic;0.36;0.44;-0.27;0.32;NA;NA;NA;NA;NA;NA;0.99;0.57;NA;NA;NA;NA;1149;33;900;1.9
284;Quiroz et al. ;2011;Forb;Exotic;Disturbance;Soil Disturbance;0.17;0.53;-0.16;0.31;NA;NA;NA;NA;NA;NA;0.5;0.76;NA;NA;NA;NA;1149;33;900;1.9
285;Radford et al. ;2010;Grass;Exotic;Disturbance;Grazing;1.55;9.24;1.55;9.24;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;969;44;2384;7.9
285;Radford et al. ;2010;Forb;Exotic;Disturbance;Grazing;3.69;0.24;3.69;0.24;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;969;44;2384;7.9
285;Radford et al. ;2010;Forb;Exotic;Disturbance;Grazing;0.68;5.15;2.22;9.76;-0.86;0.54;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;969;44;2384;7.9
290;Seabloom et al. ;2003;Mixed;Exotic;Disturbance;Soil Disturbance;-0.42;0.49;-0.19;0.18;-0.65;0.81;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1876;34;492;15.1
297;Suazo et al. ;2012;Forb;Exotic;Disturbance;Soil Disturbance;0.38;0.22;0.27;0.27;NA;NA;0.5;0.18;NA;NA;NA;NA;NA;NA;NA;NA;2829;36;100;21
299;Taylor et al.;2015;Grass;Invasive;Disturbance;Soil Disturbance;-0.01;0.1;-0.01;0.1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1141;45;1436;11.4
300;te Beest et al. ;2015;Shrub;Invasive;Disturbance;Soil Disturbance;0.53;0.07;NA;NA;0.53;0.07;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1602;28;1002;19.9
300;te Beest et al. ;2015;Shrub;Invasive;Disturbance;Fire;-0.75;0.07;NA;NA;-0.75;0.07;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1602;28;1002;19.9
300;te Beest et al. ;2015;Shrub;Invasive;Disturbance;Plant Removal;0.39;0.1;NA;NA;0.39;0.1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1602;28;1002;19.9
302;Torres-Díaz et al.;2012;Forb;Exotic;Disturbance;Soil Disturbance;1.59;0.56;1.92;0.57;1.37;0.25;1.5;0.87;NA;NA;NA;NA;NA;NA;NA;NA;1411;33;370;15
304;Vikane et al.;2013;Tree;Exotic;Disturbance;Plant Removal;0.11;2.77;0.11;2.77;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;743;60;1890;7.7
304;Vikane et al.;2013;Tree;Exotic;Disturbance;Plant Removal;-0.56;4.13;-0.56;4.13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;743;60;1890;7.7
306;Whitehead et al. ;2014;Grass;Exotic;Disturbance;Grazing;0.59;0.0001;0.66;0.0001;NA;NA;NA;NA;0.53;0.0001;NA;NA;NA;NA;NA;NA;1139;43;865;8
306;Whitehead et al. ;2014;Shrub;Exotic;Disturbance;Grazing;0.95;0.95;0.285;0.65;NA;NA;NA;NA;1.25;0.27;NA;NA;NA;NA;NA;NA;1139;43;865;8
307;Williams et al.;2010;Forb;Exotic;Disturbance;Soil Disturbance;2.04;1.03;1.6;0.84;NA;NA;NA;NA;NA;NA;2;1.23;NA;NA;NA;NA;1060;47;647;2.3
22;Agrawal & Kotanen;2003;Mixed;Exotic;Enemy Release;NA;-0.35;0.05;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.35;0.05;NA;NA;928;44;795;6.6
23;Agrawal et al. ;2005;Mixed;Exotic;Enemy Release;NA;0.25;0.01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.25;0.01;NA;NA;928;44;795;6.6
26;Ando et al.;2010;Forb;Exotic;Enemy Release;NA;-0.65;9.52;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-0.65;9.52;1163;35;1582;15.6
28;Ashton & Lerdau;2008;Vines;Invasive;Enemy Release;NA;0.05;0.06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.05;0.06;1206;40;1147;10.9
29;Avanesyan & Culley;2015;Grass;Exotic;Enemy Release;NA;-1.65;0.01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-1.65;0.01;NA;NA;1206;39;985;11.5
