identifier,genus,species,pathogen.id,host.function,infect.stage,trait.stage,trait.category,trait.description,experiment.type,experiment.location,pathogen.type,arthropod.order,mean.infected,mean.uninfected,sd.infected,sd.uninfected,sample.size.infected,sample.size.uninfected,yi,vi
Altizer2001,Danaus,plexippus,Ophryocystis elektroscirrha,multi-function,larva,adult,density,rate of survival to adulthood (West) (exp 2),manipulative,lab,Multicellular,Lepidoptera,0.03615,0.6311,0.024075506,0.228904816,3,54,-2.610858583,0.411646436
Altizer2001,Danaus,plexippus,Ophryocystis elektroscirrha,multi-function,larva,adult,density,rate of survival to adulthood (East) (exp 3),manipulative,lab,Multicellular,Lepidoptera,0.6708,0.65105,0.201762183,0.200302139,133,120,0.097930028,0.015871083
Altizer2001,Danaus,plexippus,Ophryocystis elektroscirrha,multi-function,larva,adult,density,rate of survival to adulthood (Florida) (exp 3),manipulative,lab,Multicellular,Lepidoptera,0.6957,0.86705,0.200988031,0.170263558,128,165,-0.927317924,0.015340544
Altizer2001,Danaus,plexippus,Ophryocystis elektroscirrha,multi-function,larva,adult,morphological,"Wingspan (forewing length, mm) of newly emerged adults (Florida) (exp 3)",manipulative,lab,Multicellular,Lepidoptera,47.5358,48.23735,1.080855141,1.820811718,128,165,-0.453736048,0.014224431
Altizer2001,Danaus,plexippus,Ophryocystis elektroscirrha,multi-function,larva,adult,morphological,"Wingspan (forewing length, mm) of newly emerged adults (East) (exp 3)",manipulative,lab,Multicellular,Lepidoptera,48.86415,50.25945,1.101763367,1.446042324,133,120,-1.08969907,0.018198858
Altizer2001,Danaus,plexippus,Ophryocystis elektroscirrha,multi-function,larva,adult,morphological,"Wingspan (forewing length, mm) of newly emerged adults (West) (exp 2)",manipulative,lab,Multicellular,Lepidoptera,49.61955,52.3004,0.173542831,1.920044782,3,54,-1.402628511,0.369109455
Altizer2001,Danaus,plexippus,Ophryocystis elektroscirrha,multi-function,larva,adult,morphological,"Wingspan (forewing length, mm) of newly emerged adults (East) (exp 2)",manipulative,lab,Multicellular,Lepidoptera,52.86335,53.42635,1.669445468,1.652636278,68,108,-0.337869581,0.024289448
BrownLoosli2003a,Bombus,terrestris,Crithidia bombi,pollinator,adult,adult,density,Favourable conditions Relative ovariole size (mm/mm),manipulative,lab,Multicellular,Hymenoptera,0.539,0.598,0.19790907,0.218686991,68,61,-0.281996219,0.031407549
BrownLoosli2003a,Bombus,terrestris,Crithidia bombi,pollinator,adult,adult,morphological,Favourable conditions Relative fat content (mg/mm),manipulative,lab,Multicellular,Hymenoptera,0.613,0.553,0.253745936,0.171825493,67,61,0.272837469,0.031609598
BrownLoosli2003a,Bombus,terrestris,Crithidia bombi,pollinator,adult,adult,density,Stressed conditions Relative ovariole size (mm/mm),manipulative,lab,Multicellular,Hymenoptera,0.837,0.775,0.211395364,0.247776109,57,73,0.2650312,0.03151265
BrownLoosli2003a,Bombus,terrestris,Crithidia bombi,pollinator,adult,adult,morphological,Stressed conditions Relative fat content (mg/mm),manipulative,lab,Multicellular,Hymenoptera,0.584,0.551,0.201395134,0.191791554,60,76,0.167356368,0.029927533
Otterstatter2005,Bombus,impatiens,Locustacarus buchneri,pollinator,larva,adult,behavioral,flower handling rate (1/time),observational,lab,Multicellular,Hymenoptera,0.229357798,0.267379679,0.048158721,0.035566768,29,11,-0.82470663,0.133893612
Otterstatter2005,Bombus,impatiens,Crithidia bombi,pollinator,adult,adult,behavioral,rate of flower access (1/time),observational,lab,Multicellular,Hymenoptera,0.793650794,0.961538462,2.137888983,1.226562422,18,11,-0.08804144,0.146598289
Otterstatter2005,Bombus,impatiens,Crithidia bombi,pollinator,adult,adult,behavioral,nectar ingestion rate (1/time),observational,lab,Multicellular,Hymenoptera,0.540540541,0.609756098,0.136359525,0.073987763,18,11,-0.574014793,0.15214556
Otterstatter2005,Bombus,impatiens,Crithidia bombi,pollinator,adult,adult,behavioral,flower acceptance proportion (1/flowers rejected),observational,lab,Multicellular,Hymenoptera,0.034246575,0.052910053,0.01592284,0.022283529,18,11,-0.978659075,0.162977984
Otterstatter2005,Bombus,impatiens,Crithidia bombi,pollinator,adult,adult,behavioral,1/instances of bees grooming on flowers,observational,lab,Multicellular,Hymenoptera,0.147058824,0.52631579,0.128453654,0.734986103,18,11,-0.803477406,0.157595266
Otterstatter2005,Bombus,impatiens,Crithidia bombi,pollinator,adult,adult,behavioral,1/instances of bees falling from flowers during take off and landing,observational,lab,Multicellular,Hymenoptera,0.25,1,0.265165043,1.326649916,18,11,-0.873671726,0.159625031
Gegear2005,Bombus,impatiens,Crithidia bombi,pollinator,adult,adult,behavioral,1/number of flower visits to reach 80% foraging efficiency,observational,lab,Multicellular,Hymenoptera,0.066225166,0.212314225,0.039856177,0.14834483,6,12,-1.112887232,0.284403278
Gegear2005,Bombus,impatiens,Crithidia bombi,pollinator,adult,adult,behavioral,motor learning rate,observational,lab,Multicellular,Hymenoptera,0.15187638,0.51214128,0.047583907,0.452703787,6,12,-0.911667425,0.273087153
Gegear2005,Bombus,impatiens,Crithidia bombi,pollinator,adult,adult,behavioral,error rate (1/number of errors),observational,lab,Multicellular,Hymenoptera,0.063895615,0.129994527,0.012126811,0.035492749,6,12,-2.084221583,0.3706661
Gegear2005,Bombus,impatiens,Crithidia bombi,pollinator,adult,adult,behavioral,1/amount of time to 80% efficiency,observational,lab,Multicellular,Hymenoptera,0.015075231,0.042845395,0.004701306,0.039058106,6,12,-0.813876105,0.268399842
AltizerOberhauser1999,Danaus,plexippus,Ophryocystis elektroscirrha,multi-function,larva,adult,density,survival to adulthood 3rd instars (exp. 1),manipulative,lab,Multicellular,Lepidoptera,0.687575944,0.86316809,0.896154788,0.65718018,150,150,-0.222892158,0.013416135
AltizerOberhauser1999,Danaus,plexippus,Ophryocystis elektroscirrha,multi-function,larva,adult,density,survival to adulthood 1st instars (exp. 2),manipulative,lab,Multicellular,Lepidoptera,0,0.680291971,0.175910893,0.383805589,30,30,-2.249120015,0.108821174
AltizerOberhauser1999,Danaus,plexippus,Ophryocystis elektroscirrha,multi-function,larva,adult,density,survival to adulthood 3rd instars (exp. 2),manipulative,lab,Multicellular,Lepidoptera,0.499270073,0.747445255,0.463765086,0.383805589,30,30,-0.575449342,0.069426183
AltizerOberhauser1999,Danaus,plexippus,Ophryocystis elektroscirrha,multi-function,larva,adult,morphological,mass at emergence (g) exp 1,manipulative,lab,Multicellular,Lepidoptera,0.449009308,0.49188138,0.049817271,0.037793599,50,50,-0.962161887,0.044628777
AltizerOberhauser1999,Danaus,plexippus,Ophryocystis elektroscirrha,multi-function,larva,adult,density,total eggs per female,manipulative,lab,Multicellular,Lepidoptera,260.8614232,271.3483146,150.5002949,107.6855558,3,3,-0.06394309,0.667007393
BrownMoretetal2003,Bombus,terrestris,Crithidia bombi,pollinator,adult,adult,physiological,colony 1 - 14 days: Haemocyte number,manipulative,lab,Multicellular,Hymenoptera,25.25,52.4,25.29822128,48.47771653,10,10,-0.672431372,0.211304099
BrownMoretetal2003,Bombus,terrestris,Crithidia bombi,pollinator,adult,adult,physiological,colony 1 - 14 days: Phenoloxidase activity,manipulative,lab,Multicellular,Hymenoptera,718.8,813.5,605.5761719,581.1317656,10,10,-0.152809095,0.200583765
BrownMoretetal2003,Bombus,terrestris,Crithidia bombi,pollinator,adult,adult,physiological,colony 1 - 14 days: Anti-bacterial activity,manipulative,lab,Multicellular,Hymenoptera,3.4,0,7.146747512,0,10,10,0.644303764,0.210378184
BrownMoretetal2003,Bombus,terrestris,Crithidia bombi,pollinator,adult,adult,morphological,colony 1 - 14 days: Relative fat body,manipulative,lab,Multicellular,Hymenoptera,0.074,0.075,0.027195588,0.034468826,10,10,-0.030846115,0.200023787
BrownMoretetal2003,Bombus,terrestris,Crithidia bombi,pollinator,adult,adult,density,colony 1 - 14 days: Oocyte length,manipulative,lab,Multicellular,Hymenoptera,0.8,0.2,1.075174404,0.474341649,10,10,0.691472005,0.211953338
BrownMoretetal2003,Bombus,terrestris,Crithidia bombi,pollinator,adult,adult,physiological,colony 2 - 14 days: Haemocyte number,manipulative,lab,Multicellular,Hymenoptera,34.2,8.3,80.0056248,16.72844882,10,10,0.429148538,0.204604212
BrownMoretetal2003,Bombus,terrestris,Crithidia bombi,pollinator,adult,adult,physiological,colony 2 - 14 days: Phenoloxidase activity,manipulative,lab,Multicellular,Hymenoptera,1235.2,315.62,2804.307829,1382.579416,10,10,0.398324005,0.20396655
BrownMoretetal2003,Bombus,terrestris,Crithidia bombi,pollinator,adult,adult,morphological,colony 2 - 14 days: Relative fat body,manipulative,lab,Multicellular,Hymenoptera,0.064,0.0134,0.221359436,0.376311042,10,10,0.156963208,0.200615936
BrownMoretetal2003,Bombus,terrestris,Crithidia bombi,pollinator,adult,adult,physiological,colony 3 - 14 days: Haemocyte number,manipulative,lab,Multicellular,Hymenoptera,24.7,41.5,9.044114108,23.74870523,10,10,-0.895326544,0.220040241
BrownMoretetal2003,Bombus,terrestris,Crithidia bombi,pollinator,adult,adult,physiological,colony 3 - 14 days: Phenoloxidase activity,manipulative,lab,Multicellular,Hymenoptera,742.4,30.5,399.1426863,47.78201545,10,10,2.398397628,0.34380778
BrownMoretetal2003,Bombus,terrestris,Crithidia bombi,pollinator,adult,adult,physiological,colony 3 - 14 days: Anti-bacterial activity,manipulative,lab,Multicellular,Hymenoptera,2.9,1.09,4.711793714,3.45953176,10,10,0.419353569,0.204396435
BrownMoretetal2003,Bombus,terrestris,Crithidia bombi,pollinator,adult,adult,morphological,colony 3 - 14 days: Relative fat body,manipulative,lab,Multicellular,Hymenoptera,0.071,0.071,0.024349538,0.020554805,10,10,0,0.2
BrownMoretetal2003,Bombus,terrestris,Crithidia bombi,pollinator,adult,adult,density,colony 3 - 14 days: Oocyte length,manipulative,lab,Multicellular,Hymenoptera,1.6,0.9,0.853814968,1.170042734,10,10,0.654508798,0.210709544
Gegear2006,Bombus,impatiens,Crithidia bombi,pollinator,adult,adult,behavioral,time from landing on the surface of the flower until reaching the bottom of the tube,observational,lab,Multicellular,Hymenoptera,1.53,1.59,0.173205081,0.126491106,12,10,-0.374910072,0.186527823
Gegear2006,Bombus,impatiens,Crithidia bombi,pollinator,adult,adult,behavioral,proportion of correct flowers (end of trials),manipulative,lab,Multicellular,Hymenoptera,0.94314,0.893553,3.445394116,2.35201849,14,8,0.015353422,0.196433929
Gegear2006,Bombus,impatiens,Crithidia bombi,pollinator,adult,adult,behavioral,proportion of correct flowers (end of trials),observational,lab,Multicellular,Hymenoptera,0.870351759,0.892964824,0.12533433,0.035754396,12,10,-0.226600352,0.184500327
Giacominietal2018,Bombus,impatiens,Crithidia bombi,pollinator,adult,adult,density,number of eggs laid (buck diet),manipulative,lab,Multicellular,Hymenoptera,0.74600082,2.343826907,1.993246404,5.24989873,20,20,-0.394390777,0.101944301
Giacominietal2018,Bombus,impatiens,Crithidia bombi,pollinator,adult,adult,density,number of eggs laid (sun diet),manipulative,lab,Multicellular,Hymenoptera,2.121616079,2.175963905,4.738574736,4.738574736,20,20,-0.011241116,0.10000158
