"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","method","pval","estimate","lower","upper","length","precision","abs_yi","source","repo","branch","repo_license"
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",758,0.468,0.001225,"estimate","MR-Robust",1e-04,0.468,0.399,0.536,0.137,28.5714285714286,0.468,"GitHub","FLOW-MR-PAPER","main",NA
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",759,0.514,0.001521,"estimate","MR-Robust",1e-06,0.514,0.436,0.591,0.155,25.6410256410256,0.514,"GitHub","FLOW-MR-PAPER","main",NA
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",760,0.552,0.002116,"estimate","MR-Robust",1e-08,0.552,0.462,0.641,0.179,21.7391304347826,0.552,"GitHub","FLOW-MR-PAPER","main",NA
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",761,0.743,0.003969,"estimate","FLOW-MR",0.01,0.743,0.624,0.864,0.24,15.8730158730159,0.743,"GitHub","FLOW-MR-PAPER","main",NA
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",762,0.756,0.004225,"estimate","FLOW-MR",1e-04,0.756,0.633,0.879,0.246,15.3846153846154,0.756,"GitHub","FLOW-MR-PAPER","main",NA
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",763,0.768,0.003721,"estimate","FLOW-MR",1e-06,0.768,0.651,0.887,0.236,16.3934426229508,0.768,"GitHub","FLOW-MR-PAPER","main",NA
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",764,0.794,0.005041,"estimate","FLOW-MR",1e-08,0.794,0.677,0.949,0.272,14.0845070422535,0.794,"GitHub","FLOW-MR-PAPER","main",NA
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",765,0.793,0.003969,"estimate","MR-Horse",0.01,0.793,0.68,0.927,0.247,15.8730158730159,0.793,"GitHub","FLOW-MR-PAPER","main",NA
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",766,0.81,0.004489,"estimate","MR-Horse",1e-04,0.81,0.692,0.953,0.261,14.9253731343284,0.81,"GitHub","FLOW-MR-PAPER","main",NA
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",767,0.837,0.005625,"estimate","MR-Horse",1e-06,0.837,0.698,0.993,0.295,13.3333333333333,0.837,"GitHub","FLOW-MR-PAPER","main",NA
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",768,0.861,0.005776,"estimate","MR-Horse",1e-08,0.861,0.73,1.029,0.299,13.1578947368421,0.861,"GitHub","FLOW-MR-PAPER","main",NA
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",769,0.483,9e-04,"estimate","IVW",0.01,0.483,0.424,0.543,0.119,33.3333333333333,0.483,"GitHub","FLOW-MR-PAPER","main",NA
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",770,0.545,0.001089,"estimate","IVW",1e-04,0.545,0.481,0.61,0.129,30.3030303030303,0.545,"GitHub","FLOW-MR-PAPER","main",NA
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",771,0.576,0.001296,"estimate","IVW",1e-06,0.576,0.506,0.647,0.141,27.7777777777778,0.576,"GitHub","FLOW-MR-PAPER","main",NA
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",772,0.598,0.001521,"estimate","IVW",1e-08,0.598,0.521,0.675,0.154,25.6410256410256,0.598,"GitHub","FLOW-MR-PAPER","main",NA
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",773,0.838,0.003025,"estimate","GRAPPLE",0.01,0.838,0.731,0.946,0.215,18.1818181818182,0.838,"GitHub","FLOW-MR-PAPER","main",NA
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",774,0.882,0.003136,"estimate","GRAPPLE",1e-04,0.882,0.772,0.991,0.219,17.8571428571429,0.882,"GitHub","FLOW-MR-PAPER","main",NA
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",775,0.865,0.003249,"estimate","GRAPPLE",1e-06,0.865,0.754,0.976,0.222,17.5438596491228,0.865,"GitHub","FLOW-MR-PAPER","main",NA
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",776,0.853,0.003481,"estimate","GRAPPLE",1e-08,0.853,0.738,0.967,0.229,16.9491525423729,0.853,"GitHub","FLOW-MR-PAPER","main",NA
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",777,0.481,0.002209,"estimate","MR-Egger",0.01,0.481,0.389,0.574,0.185,21.2765957446809,0.481,"GitHub","FLOW-MR-PAPER","main",NA
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",778,0.502,0.002601,"estimate","MR-Egger",1e-04,0.502,0.403,0.601,0.198,19.6078431372549,0.502,"GitHub","FLOW-MR-PAPER","main",NA
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",779,0.505,0.003136,"estimate","MR-Egger",1e-06,0.505,0.396,0.614,0.218,17.8571428571429,0.505,"GitHub","FLOW-MR-PAPER","main",NA
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",780,0.502,0.003844,"estimate","MR-Egger",1e-08,0.502,0.38,0.624,0.244,16.1290322580645,0.502,"GitHub","FLOW-MR-PAPER","main",NA
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",781,0.448,0.000961,"estimate","MR-Robust",0.01,0.448,0.387,0.508,0.121,32.258064516129,0.448,"GitHub","FLOW-MR-PAPER","main",NA
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",782,0.512,0.001024,"estimate","MR-Robust",1e-04,0.512,0.448,0.576,0.128,31.25,0.512,"GitHub","FLOW-MR-PAPER","main",NA
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",783,0.547,0.001296,"estimate","MR-Robust",1e-06,0.547,0.478,0.617,0.139,27.7777777777778,0.547,"GitHub","FLOW-MR-PAPER","main",NA
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",784,0.575,0.001444,"estimate","MR-Robust",1e-08,0.575,0.5,0.65,0.15,26.3157894736842,0.575,"GitHub","FLOW-MR-PAPER","main",NA
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",785,0.776,0.004356,"estimate","FLOW-MR",0.01,0.776,0.657,0.924,0.267,15.1515151515152,0.776,"GitHub","FLOW-MR-PAPER","main",NA
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",786,0.812,0.003136,"estimate","FLOW-MR",1e-04,0.812,0.708,0.927,0.219,17.8571428571429,0.812,"GitHub","FLOW-MR-PAPER","main",NA
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",787,0.8,0.004225,"estimate","FLOW-MR",1e-06,0.8,0.689,0.937,0.248,15.3846153846154,0.8,"GitHub","FLOW-MR-PAPER","main",NA
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",788,0.815,0.004356,"estimate","FLOW-MR",1e-08,0.815,0.698,0.964,0.266,15.1515151515152,0.815,"GitHub","FLOW-MR-PAPER","main",NA
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",789,0.839,0.004096,"estimate","MR-Horse",0.01,0.839,0.722,0.967,0.245,15.625,0.839,"GitHub","FLOW-MR-PAPER","main",NA
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",790,0.858,0.003969,"estimate","MR-Horse",1e-04,0.858,0.74,0.983,0.243,15.8730158730159,0.858,"GitHub","FLOW-MR-PAPER","main",NA
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",791,0.877,0.003249,"estimate","MR-Horse",1e-06,0.877,0.774,0.997,0.223,17.5438596491228,0.877,"GitHub","FLOW-MR-PAPER","main",NA
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",792,0.895,0.003249,"estimate","MR-Horse",1e-08,0.895,0.78,1.015,0.235,17.5438596491228,0.895,"GitHub","FLOW-MR-PAPER","main",NA
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",793,0.508,9e-04,"estimate","IVW",0.01,0.508,0.45,0.566,0.116,33.3333333333333,0.508,"GitHub","FLOW-MR-PAPER","main",NA
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",794,0.545,0.001089,"estimate","IVW",1e-04,0.545,0.481,0.61,0.129,30.3030303030303,0.545,"GitHub","FLOW-MR-PAPER","main",NA
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",795,0.594,0.001225,"estimate","IVW",1e-06,0.594,0.524,0.663,0.139,28.5714285714286,0.594,"GitHub","FLOW-MR-PAPER","main",NA
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",796,0.634,0.001444,"estimate","IVW",1e-08,0.634,0.559,0.708,0.149,26.3157894736842,0.634,"GitHub","FLOW-MR-PAPER","main",NA
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",797,0.91,0.003364,"estimate","GRAPPLE",0.01,0.91,0.796,1.024,0.228,17.2413793103448,0.91,"GitHub","FLOW-MR-PAPER","main",NA
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",798,0.893,0.003364,"estimate","GRAPPLE",1e-04,0.893,0.779,1.007,0.228,17.2413793103448,0.893,"GitHub","FLOW-MR-PAPER","main",NA
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",799,0.933,0.0036,"estimate","GRAPPLE",1e-06,0.933,0.816,1.05,0.234,16.6666666666667,0.933,"GitHub","FLOW-MR-PAPER","main",NA
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",800,0.952,0.003969,"estimate","GRAPPLE",1e-08,0.952,0.829,1.075,0.246,15.8730158730159,0.952,"GitHub","FLOW-MR-PAPER","main",NA
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",801,0.5,0.002304,"estimate","MR-Egger",0.01,0.5,0.407,0.594,0.187,20.8333333333333,0.5,"GitHub","FLOW-MR-PAPER","main",NA
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",802,0.499,0.003025,"estimate","MR-Egger",1e-04,0.499,0.392,0.606,0.214,18.1818181818182,0.499,"GitHub","FLOW-MR-PAPER","main",NA
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",803,0.492,0.003364,"estimate","MR-Egger",1e-06,0.492,0.378,0.607,0.229,17.2413793103448,0.492,"GitHub","FLOW-MR-PAPER","main",NA
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",804,0.499,0.003844,"estimate","MR-Egger",1e-08,0.499,0.377,0.621,0.244,16.1290322580645,0.499,"GitHub","FLOW-MR-PAPER","main",NA
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",805,0.464,0.001089,"estimate","MR-Robust",0.01,0.464,0.399,0.528,0.129,30.3030303030303,0.464,"GitHub","FLOW-MR-PAPER","main",NA
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",806,0.511,0.001369,"estimate","MR-Robust",1e-04,0.511,0.437,0.584,0.147,27.027027027027,0.511,"GitHub","FLOW-MR-PAPER","main",NA
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",807,0.568,0.001849,"estimate","MR-Robust",1e-06,0.568,0.485,0.652,0.167,23.2558139534884,0.568,"GitHub","FLOW-MR-PAPER","main",NA
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",808,0.618,0.002304,"estimate","MR-Robust",1e-08,0.618,0.524,0.712,0.188,20.8333333333333,0.618,"GitHub","FLOW-MR-PAPER","main",NA
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",809,0.821,0.004356,"estimate","FLOW-MR",0.01,0.821,0.711,0.979,0.268,15.1515151515152,0.821,"GitHub","FLOW-MR-PAPER","main",NA
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",810,0.797,0.003136,"estimate","FLOW-MR",1e-04,0.797,0.685,0.907,0.222,17.8571428571429,0.797,"GitHub","FLOW-MR-PAPER","main",NA
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",811,0.837,0.003481,"estimate","FLOW-MR",1e-06,0.837,0.724,0.954,0.23,16.9491525423729,0.837,"GitHub","FLOW-MR-PAPER","main",NA
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",812,0.845,0.003721,"estimate","FLOW-MR",1e-08,0.845,0.726,0.983,0.257,16.3934426229508,0.845,"GitHub","FLOW-MR-PAPER","main",NA
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",813,0.861,0.003136,"estimate","MR-Horse",0.01,0.861,0.757,0.972,0.215,17.8571428571429,0.861,"GitHub","FLOW-MR-PAPER","main",NA
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",814,0.895,0.003249,"estimate","MR-Horse",1e-04,0.895,0.798,1.025,0.227,17.5438596491228,0.895,"GitHub","FLOW-MR-PAPER","main",NA
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",815,0.892,0.002704,"estimate","MR-Horse",1e-06,0.892,0.79,0.995,0.205,19.2307692307692,0.892,"GitHub","FLOW-MR-PAPER","main",NA
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",816,0.918,0.003364,"estimate","MR-Horse",1e-08,0.918,0.81,1.041,0.231,17.2413793103448,0.918,"GitHub","FLOW-MR-PAPER","main",NA
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",817,0.494,0.001089,"estimate","IVW",0.01,0.494,0.429,0.558,0.129,30.3030303030303,0.494,"GitHub","FLOW-MR-PAPER","main",NA
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",818,0.54,0.001369,"estimate","IVW",1e-04,0.54,0.468,0.611,0.143,27.027027027027,0.54,"GitHub","FLOW-MR-PAPER","main",NA
"gh_ZixuanWu1_FLOW-MR-PAPER_Source-Data_SuppFigure6_k_3_sim_cor_first.csv","ZixuanWu1","Source-Data/SuppFigure6/k=3_sim_cor_first.csv","ZixuanWu1 / FLOW-MR-PAPER / Source-Data/SuppFigure6/k=3_sim_cor_first.csv",819,0.561,0.001681,"estimate","IVW",1e-06,0.561,0.482,0.641,0.159,24.390243902439,0.561,"GitHub","FLOW-MR-PAPER","main",NA
