Species,PaperID,Experimental treatment,Type of manipulation,Sex,Control,...7,Treatment,...9,OR,log(OR),SE log(OR),95% CI log(OR),Source
NA,NA,NA,NA,NA,Dead,Alive,Dead,Alive,NA,NA,NA,NA,NA
Passer domesticus,Paper018,Enlarged,Brood size,Female,5,3,3,2,1.111,0.105,1.169,-2.185 to 2.396,NA
Passer domesticus,Paper018,Reduced,Brood size,Male,4,4,2,4,2,0.693,1.118,-1.498 to 2.884,NA
Passer domesticus,Paper018,Enlarged,Brood size,Male,4,4,4,1,0.25,-1.386,1.323,-3.979 to 1.206,NA
Poecile montanus,Paper034,Enlarged,Brood size,Female,62,124,35,62,0.886,-0.121,0.262,-0.635 to 0.393,"Orell, M., Rytk_nen, S., Koivula, K., Ronkainen, M. & Rahiala, M. 1996. Brood size manipulations within the natural range did not reveal intragenerational cost of reproduction in the Willow Tit Parus montanus. Ibis 138: 630_637."
Poecile montanus,Paper034,Reduced,Brood size,Female,62,124,35,58,0.829,-0.188,0.265,-0.706 to 0.330,NA
Poecile montanus,Paper034,Enlarged,Brood size,Male,68,125,39,59,0.823,-0.195,0.256,-0.695 to 0.306,NA
Poecile montanus,Paper034,Reduced,Brood size,Male,68,125,31,63,1.106,0.1,0.266,-0.421 to 0.621,NA
Rissa tridactyla,Paper022,Enlarged,Brood size,Female,4,10,4,5,0.5,-0.693,0.894,-2.446 to 1.059,"Jacobsen, K.-O., Erikstad, K.E. & S_ther, B.-E. 1995. An experimental study of the costs of reproduction in the kittiwake Rissa tridactyla. Ecology 76: 1636_1642."
Rissa tridactyla,Paper022,Reduced,Brood size,Female,4,10,2,23,4.6,1.526,0.945,-0.326 to 3.378,NA
Rissa tridactyla,Paper022,Enlarged,Brood size,Male,3,16,1,6,1.125,0.118,1.25,-2.332 to 2.567,NA
Rissa tridactyla,Paper022,Reduced,Brood size,Male,3,16,1,7,1.313,0.272,1.24,-2.159 to 2.703,NA
Sayornis phoebe,Paper006,Enlarged,Clutch size,Female,12,4,18,6,1,0,0.745,-1.460 to 1.460,"Conrad, K.F. & Robertson, R.J. 1992. Intraseasonal effects of clutch manipulation on parental provisioning and residual reproductive value of eastern phoebes (Sayornis phoebe). Oecologia 89: 356_364."
Sayornis phoebe,Paper006,Reduced,Clutch size,Female,12,4,19,3,0.474,-0.747,0.848,-2.409 to 0.915,NA
Sialia sialis,Paper044,Enlarged,Brood size,Female,20,22,28,9,0.292,-1.23,0.492,-2.195 to -0.26,"Siefferman, L. & Hill, G.E. 2008. Sex-specific costs of reproduction in Eastern Bluebirds Sialia sialis. Ibis 150: 32_39."
Sialia sialis,Paper044,Reduced,Brood size,Female,20,22,29,15,0.47,-0.755,0.443,-1.623 to 0.114,NA
