"dataset_id","source_pkg","source_object","source_title","slab","yi","vi","measure","contrast","estimate","tratio","pvalue","precision","abs_yi","source","repo","branch","repo_license"
"gh_PATH-AI-Initiative_RwandaBenchmarking_output_art_anova_posthoc_interactions_evaluationLanguage_responder.csv","PATH-AI-Initiative","output/art_anova/posthoc/interactions/evaluationLanguage_responder.csv","PATH-AI-Initiative / RwandaBenchmarking / output/art_anova/posthoc/interactions/evaluationLanguage_responder.csv",12,5995.74226940598,67865.5185292206,"estimate","(deepseek-r1,english) - seniorNurse,english",5995.74226940598,23.0153916869621,0,0.00383862258462993,5995.74226940598,"GitHub","RwandaBenchmarking","main",NA
"gh_PATH-AI-Initiative_RwandaBenchmarking_output_art_anova_posthoc_interactions_evaluationLanguage_responder.csv","PATH-AI-Initiative","output/art_anova/posthoc/interactions/evaluationLanguage_responder.csv","PATH-AI-Initiative / RwandaBenchmarking / output/art_anova/posthoc/interactions/evaluationLanguage_responder.csv",13,4971.70866664543,222231.058259446,"estimate","(deepseek-r1,english) - seniorNurse,kinyarwanda",4971.70866664543,10.5463770654852,1.27786670134356e-13,0.00212127817066988,4971.70866664543,"GitHub","RwandaBenchmarking","main",NA
"gh_PATH-AI-Initiative_RwandaBenchmarking_output_art_anova_posthoc_interactions_evaluationLanguage_responder.csv","PATH-AI-Initiative","output/art_anova/posthoc/interactions/evaluationLanguage_responder.csv","PATH-AI-Initiative / RwandaBenchmarking / output/art_anova/posthoc/interactions/evaluationLanguage_responder.csv",14,-6186.85052088438,85970.118867954,"estimate","(deepseek-r1,kinyarwanda) - (gemini-2-flash,english)",-6186.85052088438,-21.1006512540846,0,0.0034105642576715,6186.85052088438,"GitHub","RwandaBenchmarking","main",NA
"gh_PATH-AI-Initiative_RwandaBenchmarking_output_art_anova_posthoc_interactions_evaluationLanguage_responder.csv","PATH-AI-Initiative","output/art_anova/posthoc/interactions/evaluationLanguage_responder.csv","PATH-AI-Initiative / RwandaBenchmarking / output/art_anova/posthoc/interactions/evaluationLanguage_responder.csv",15,-1979.64675324663,136260.939391494,"estimate","(deepseek-r1,kinyarwanda) - (gemini-2-flash,kinyarwanda)",-1979.64675324663,-5.36292857128419,7.33148218989843e-06,0.00270903309516658,1979.64675324663,"GitHub","RwandaBenchmarking","main",NA
"gh_PATH-AI-Initiative_RwandaBenchmarking_output_art_anova_posthoc_interactions_evaluationLanguage_responder.csv","PATH-AI-Initiative","output/art_anova/posthoc/interactions/evaluationLanguage_responder.csv","PATH-AI-Initiative / RwandaBenchmarking / output/art_anova/posthoc/interactions/evaluationLanguage_responder.csv",16,-6433.23252043023,85970.1188679516,"estimate","(deepseek-r1,kinyarwanda) - (gpt-4o,english)",-6433.23252043023,-21.9409528954696,0,0.00341056425767155,6433.23252043023,"GitHub","RwandaBenchmarking","main",NA
"gh_PATH-AI-Initiative_RwandaBenchmarking_output_art_anova_posthoc_interactions_evaluationLanguage_responder.csv","PATH-AI-Initiative","output/art_anova/posthoc/interactions/evaluationLanguage_responder.csv","PATH-AI-Initiative / RwandaBenchmarking / output/art_anova/posthoc/interactions/evaluationLanguage_responder.csv",17,-2257.41168831165,136260.939391497,"estimate","(deepseek-r1,kinyarwanda) - (gpt-4o,kinyarwanda)",-2257.41168831165,-6.11540297305206,8.73331817974332e-08,0.00270903309516655,2257.41168831165,"GitHub","RwandaBenchmarking","main",NA
"gh_PATH-AI-Initiative_RwandaBenchmarking_output_art_anova_posthoc_interactions_evaluationLanguage_responder.csv","PATH-AI-Initiative","output/art_anova/posthoc/interactions/evaluationLanguage_responder.csv","PATH-AI-Initiative / RwandaBenchmarking / output/art_anova/posthoc/interactions/evaluationLanguage_responder.csv",18,3056.80445988088,95857.9864323906,"estimate","(deepseek-r1,kinyarwanda) - juniorGp,english",3056.80445988088,9.87309935157708,1.32227562232856e-13,0.00322987599670076,3056.80445988088,"GitHub","RwandaBenchmarking","main",NA
"gh_PATH-AI-Initiative_RwandaBenchmarking_output_art_anova_posthoc_interactions_evaluationLanguage_responder.csv","PATH-AI-Initiative","output/art_anova/posthoc/interactions/evaluationLanguage_responder.csv","PATH-AI-Initiative / RwandaBenchmarking / output/art_anova/posthoc/interactions/evaluationLanguage_responder.csv",19,3821.71341991321,170326.174239365,"estimate","(deepseek-r1,kinyarwanda) - juniorGp,kinyarwanda",3821.71341991321,9.26013720420377,1.51323398256409e-13,0.00242303286163567,3821.71341991321,"GitHub","RwandaBenchmarking","main",NA
"gh_PATH-AI-Initiative_RwandaBenchmarking_output_art_anova_posthoc_interactions_evaluationLanguage_responder.csv","PATH-AI-Initiative","output/art_anova/posthoc/interactions/evaluationLanguage_responder.csv","PATH-AI-Initiative / RwandaBenchmarking / output/art_anova/posthoc/interactions/evaluationLanguage_responder.csv",20,1483.2434487372,85970.1188679522,"estimate","(deepseek-r1,kinyarwanda) - (meditron-70b,english)",1483.2434487372,5.05869709168854,3.73414447453202e-05,0.00341056425767153,1483.2434487372,"GitHub","RwandaBenchmarking","main",NA
"gh_PATH-AI-Initiative_RwandaBenchmarking_output_art_anova_posthoc_interactions_evaluationLanguage_responder.csv","PATH-AI-Initiative","output/art_anova/posthoc/interactions/evaluationLanguage_responder.csv","PATH-AI-Initiative / RwandaBenchmarking / output/art_anova/posthoc/interactions/evaluationLanguage_responder.csv",21,2651.09826839802,136260.939391493,"estimate","(deepseek-r1,kinyarwanda) - (meditron-70b,kinyarwanda)",2651.09826839802,7.18191294762908,6.26255713953583e-11,0.00270903309516659,2651.09826839802,"GitHub","RwandaBenchmarking","main",NA
