Source,Neighbor species,Focal species,Visitation,Reproductive Success,d (vis),var (d vis),d (rep),var (d rep),Min. Distance ('control' to nearest neighbour),Treatment Arrangement,Interaction type,Study approach,Phylo,Symmetry,Colour,...17,...18,...19,...20,...21,...22,...23,...24,...25,...26,...27,...28,...29,...30,...31,...32
Cariveau 2009,Carduus nutans L.,Monarda fistulosa L.,yes,yes,-0.42,0.052,-0.363,0.042,100,clumped,alien,experimental,205.743096,D,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carmona-Diaz 2009,Malpighia glabra,Onicidium cosymbephorum,no,yes,NA,NA,1.1393518751,0.2740670823,5,natural,native,observational,376.566619,D,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carmona-Diaz 2009,Malpighia glabra,Onicidium cosymbephorum,no,yes,NA,NA,0.9289051213,0.2657008171,5,clumped,native,experimental,376.566619,D,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carmona-Diaz 2009,Malpighia glabra,Onicidium cosymbephorum,no,yes,NA,NA,1.145213661,0.2741613895,5,clumped,native,experimental,376.566619,D,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carmona-Diaz 2009,Malpighia glabra,Onicidium cosymbephorum,no,yes,NA,NA,0.9332504035,0.2657438575,5,clumped,native,experimental,376.566619,D,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carmona-Diaz 2009,Malpighia glabra,Onicidium cosymbephorum,no,yes,NA,NA,0.7089237964,0.5225903528,5,natural,native,observational,376.566619,D,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carmona-Diaz 2009,Malpighia glabra,Onicidium cosymbephorum,no,yes,NA,NA,0.8223605044,0.5147865285,5,clumped,native,experimental,376.566619,D,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carmona-Diaz 2009,Malpighia glabra,Onicidium cosymbephorum,no,yes,NA,NA,0.7039070378,0.2723808446,5,clumped,native,experimental,376.566619,D,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carmona-Diaz 2009,Malpighia glabra,Onicidium cosymbephorum,no,yes,NA,NA,0.8169977518,0.264661565,5,clumped,native,experimental,376.566619,D,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carmona-Diaz 2009,Malpighia glabra,Onicidium cosymbephorum,no,yes,NA,NA,0.8208352529,0.2797457156,5,natural,native,observational,376.566619,D,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carmona-Diaz 2009,Malpighia glabra,Onicidium cosymbephorum,no,yes,NA,NA,0.7336651258,0.2745011569,5,clumped,native,experimental,376.566619,D,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carmona-Diaz 2009,Malpighia glabra,Onicidium cosymbephorum,no,yes,NA,NA,0.837430534,0.3635211369,5,clumped,native,experimental,376.566619,D,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carmona-Diaz 2009,Malpighia glabra,Onicidium cosymbephorum,no,yes,NA,NA,0.7457774372,0.3580910282,5,clumped,native,experimental,376.566619,D,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carmona-Diaz 2009,Malpighia glabra,Onicidium cosymbephorum,no,yes,NA,NA,0.7886680789,0.2792064117,5,natural,native,observational,376.566619,D,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carmona-Diaz 2009,Malpighia glabra,Onicidium cosymbephorum,no,yes,NA,NA,0.8881335675,0.2767785816,5,clumped,native,experimental,376.566619,D,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carmona-Diaz 2009,Malpighia glabra,Onicidium cosymbephorum,no,yes,NA,NA,0.7581300545,0.3621750867,5,clumped,native,experimental,376.566619,D,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carmona-Diaz 2009,Malpighia glabra,Onicidium cosymbephorum,no,yes,NA,NA,0.8560538535,0.3597266228,5,clumped,native,experimental,376.566619,D,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caruso 1999,Castilleja linariaefolia Benth.,Ipomopsis aggregata (Pursh) V. Grant,no,yes,NA,NA,0.046,0.453,15,natural,native,experimental,215.218997,D,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caruso 1999,Castilleja linariaefolia,Ipomopsis aggregata,no,yes,NA,NA,-0.827,0.491,15,natural,native,experimental,215.218997,D,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caruso 2000,Castilleja linariaefolia,Ipomopsis aggregata,no,yes,NA,NA,-0.425,0.05,300,natural,native,observational,215.218997,D,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caruso 2000,Castilleja linariaefolia,Ipomopsis aggregata,no,yes,NA,NA,-1.08,0.063,300,natural,native,observational,215.218997,D,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carvallo 2013,Echium vulgare L.,Alstroemeria ligtu (L.) Curtis,yes,no,-0.898,0.495,NA,NA,5.5,natural,alien,observational,376.56652,S,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carvallo 2013,Echium vulgare,Phacelia secunda J. F. Gmel.,yes,yes,0.391,0.186,-0.931,0.156,5.5,natural,alien,observational,111.5904,D,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carvallo 2013,Echium vulgare,Schizanthus hookeri Gillies ex Graham,yes,yes,-0.331,0.136,-0.698,0.119,5.5,natural,alien,observational,149.998047,S,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carvallo 2013,Echium vulgare,Stachys albicaulis Lindl.,yes,yes,-0.247,0.245,1.12,0.166,5.5,natural,alien,observational,149.998073,S,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chittka 2001,Impatiens glandulifera,Stachys palustris,no,yes,NA,NA,-0.704,0.008,NA,N/A,alien,observational,215.219053,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chittka 2001,Impatiens glandulifera,Stachys palustris,yes,yes,-2.821,0.022,-0.633,0.001,NA,N/A,alien,experimental,215.219053,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Da Silva 2013,Lythrum salicaria,Decodon verticillatus,yes,no,-0.3681233087,0.8468848104,1.3817086986,1.0242452261,200,natural,alien,observational,60.372,S,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Feldman 2008,Coreopsis leavenworthii Torr. and Gray,Piriqueta caroliniana (Walt.) Urban,yes,yes,0.334,0.406,0.043,0.4,100,interspersed,native,experimental,238.331009,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ferrero 2013,Oxalis pes-caprae,Fumaria muralis,yes,yes,0.0122685372,0.0349015547,0,0.0714285714,1.75,natural,alien,experimental,273.800491,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ferrero 2013,Oxalis pes-caprae,Raphanus raphanistrum,yes,yes,0.8835113822,0.027087462,0,0.0512820513,1.75,natural,alien,experimental,235.069516,S,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ferrero 2013,Oxalis pes-caprae,Vicia faba,yes,yes,-0.0221129604,0.0121814405,0.9801324503,0.1120082453,1.75,natural,alien,experimental,226.517124,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ferrero 2013,Oxalis pes-caprae,Brassica oleracea,yes,yes,-0.063121114,0.0034926607,0.4895104895,0.1087084571,1.75,natural,alien,experimental,235.069517,S,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ferrero 2013,Oxalis pes-caprae,Melilotus italicus,yes,yes,-0.0020807875,0.0065003623,0,0.037037037,1.75,natural,alien,experimental,226.51717,D,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ferrero 2013,Oxalis pes-caprae,Vicia sativa,yes,yes,1.019278853,0.0790425815,0,0.0294117647,1.75,natural,alien,experimental,226.517124,D,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ghazoul 2004,Chromolaena odorata (L.) King & H. Robs.,Dipterocarpus obtusifolius Teijsm. Ex Miq.,yes,yes,-1.407,0.113,0.514,0.207,9000,natural,alien,observational,238.331041,S,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
