"BSC-Plant Database. Dataset used in multi-factor meta-analyses (i.e., overall plant performance, germination, survival, growth, cover) and univariate meta-regression models in Havrilla et al. (2019). Columns G-K indicate whether or not a particular study (row) was utilized in a particular analysis group. Columns L-U contain effect sizes (log response ratios) and variance estimates (ESTVAR3) for the five analyses. Full citations for each publication can be found in Appendix S2. Columns Z-AG contain the eight candidate explanatory predictor variables. See text for detailed description of each variable (Table 1). Columns AH-AK contain additional plant species information. Columns AL-AP contain geographic and climatic information.",...2,...3,...4,...5,...6,...7,...8,...9,...10,...11,...12,...13,...14,...15,...16,...17,...18,...19,...20,...21,...22,...23,...24,...25,...26,...27,...28,...29,...30,...31,...32,...33,...34,...35,...36,...37,...38,...39,...40,...41,...42
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STUDY_ID,Short_Citation,First Author Last,Pub_Year,Country,Continent,OVERALL_Analysis,GERMINATION_Analysis,SURVIVAL_Analysis,GROWTH_Analysis,COVER_Analysis,LnRR_GERM,ESTVAR3_GERM,LnRR_SURVIVAL,ESTVAR3_SURVIVAL,LnRR_GROWTH,ESTVAR3_GROWTH,LnRR_COVER,ESTVAR3_COVER,LnRR_AVG,ESTVAR3_AVG,ESTVAR1,Soil reps (n),Control reps (n),Experimental location,BIOCRUST_TYPE,ECOSYSTEM_OF_ORIGIN,PLANT_FUNCTIONAL_GROUP,PLANT_NATIVENESS,PLANT_DURATION,PLANT_ROOT_MORPHOLOGY,SOIL_REFERENCE_STATE,STUDY_LOCATION,Plant_Species,Plant_Common_Name,Plant_Family,Plant_Lifeform,Lat_Y,Long_X,Aridity_Index,BIOCLIM_MAT,BIOCLIM_MAP
2130,Cortina et al. (2010),Cortina,2010,Spain,Europe,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,0,7.6805440000000001E-3,0,7.6805440000000001E-3,0.4,5,5,"Relleu, SE Spain",Mixed,NA,C3 Grass,Native,Perennial,Fibrous,Biocrust disturbance,Field,Stipa tenacissima,Esparto,Poaceae,Grass,38.542791770000001,5.7031713330000002,NA,16,388
2130,Cortina et al. (2010),Cortina,2010,Spain,Europe,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,0,7.6805440000000001E-3,0,7.6805440000000001E-3,0.4,5,5,"Relleu, SE Spain",Mixed,NA,C3 Grass,Native,Perennial,Fibrous,Biocrust disturbance,Field,Stipa tenacissima,Esparto,Poaceae,Grass,38.542791770000001,5.7031713330000002,NA,16,388
2130,Cortina et al. (2010),Cortina,2010,Spain,Europe,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,0,7.6805440000000001E-3,0,7.6805440000000001E-3,0.4,5,5,"Relleu, SE Spain",Mixed,NA,C3 Grass,Native,Perennial,Fibrous,Biocrust disturbance,Field,Stipa tenacissima,Esparto,Poaceae,Grass,38.542791770000001,5.7031713330000002,NA,16,388
2147,Eldridge et al. (2002),Eldridge,2002,Israel,Asia,Yes,No,No,Yes,No,NA,NA,NA,NA,-0.67718721699999995,1.1178989E-2,NA,NA,-0.67718721699999995,1.1178989E-2,0.4,5,5,"Sayeret Shaked Park, Negev Desert, Israel",Mixed,Arid,Non N-fixing Woody Plant,Native,Perennial,Tap,Biocrust removal,Field,Noaea mucronata,NA,Amaranthaceae,Shrub,31.283333330000001,34.616666670000001,0.14499999999999999,19.7,227
2147,Eldridge et al. (2002),Eldridge,2002,Israel,Asia,Yes,No,No,Yes,No,NA,NA,NA,NA,-0.67718721699999995,1.1178989E-2,NA,NA,-0.67718721699999995,1.1178989E-2,0.4,5,5,"Sayeret Shaked Park, Negev Desert, Israel",Mixed,Arid,Non N-fixing Woody Plant,Native,Perennial,Tap,Biocrust removal,Field,Atractylis serratuloides,NA,Asteraceae,Shrub,31.283333330000001,34.616666670000001,0.14499999999999999,19.7,227
2213,Godinez-Alvarez et al. (2012),Godinez-Alvarez,2012,Mexico,North America,Yes,Yes,Yes,Yes,No,0.30637370800000002,8.6217480000000003E-3,0.50017446899999995,5.6088335000000003E-2,1.479054646,3.4375220000000001E-3,NA,NA,0.76186760799999997,2.2715868E-2,0.5,4,4,"Zapotitlan Salinas, Puebla",Cyanobacteria,Semi-Arid,Non N-fixing Forb,Native,Perennial,Tap,Bare soil,Greenhouse,Agave marmorata,Maguey tepeztate,Agavaceae,Forb,18.323888889999999,-97.455555559999993,0.41299999999999998,20.5,420
2213,Godinez-Alvarez et al. (2012),Godinez-Alvarez,2012,Mexico,North America,Yes,Yes,Yes,Yes,No,0,1.1812835000000001E-2,-0.44170051700000001,0.28228185700000002,-0.25951111100000002,4.1640500000000001E-4,NA,NA,-0.233737209,9.8170365999999995E-2,0.5,4,4,"Zapotitlan Salinas, Puebla",Cyanobacteria,Semi-Arid,N-fixing Woody Plant,Native,Perennial,Tap,Bare soil,Greenhouse,Prosopis laevigata,smooth mesquite,Fabaceae,Tree,18.323888889999999,-97.455555559999993,0.41299999999999998,20.5,420
2213,Godinez-Alvarez et al. (2012),Godinez-Alvarez,2012,Mexico,North America,Yes,Yes,Yes,Yes,No,0.13353119399999999,8.3158880000000004E-3,3.1745337999999998E-2,3.58596E-3,0.79378265000000003,1.0280321E-2,NA,NA,0.31968639399999998,7.3940560000000004E-3,0.5,4,4,"Zapotitlan Salinas, Puebla",Cyanobacteria,Semi-Arid,Non N-fixing Forb,Native,Perennial,Fibrous,Bare soil,Greenhouse,Neobuxbaumia tetetzo,Tetetzo,Cactaceae,Forb,18.323888889999999,-97.455555559999993,0.41299999999999998,20.5,420
2213,Godinez-Alvarez et al. (2012),Godinez-Alvarez,2012,Mexico,North America,Yes,Yes,Yes,Yes,No,-2.8716481790000001,1.9018118000000001E-2,0.47867057600000001,5.9575452000000001E-2,0.79849241900000001,1.0192641000000001E-2,NA,NA,-0.53149506199999996,2.9595403999999999E-2,0.5,4,4,"Zapotitlan Salinas, Puebla",Mixed,Semi-Arid,Non N-fixing Forb,Native,Perennial,Tap,Bare soil,Greenhouse,Agave marmorata,Maguey tepeztate,Agavaceae,Forb,18.323888889999999,-97.455555559999993,0.41299999999999998,20.5,420
2213,Godinez-Alvarez et al. (2012),Godinez-Alvarez,2012,Mexico,North America,Yes,Yes,Yes,Yes,No,-0.113328257,1.2086980000000001E-2,0,0.39510590200000001,0.94446143400000004,7.47E-5,NA,NA,0.277044393,0.13575586100000001,0.5,4,4,"Zapotitlan Salinas, Puebla",Mixed,Semi-Arid,N-fixing Woody Plant,Native,Perennial,Tap,Bare soil,Greenhouse,Prosopis laevigata,smooth mesquite,Fabaceae,Tree,18.323888889999999,-97.455555559999993,0.41299999999999998,20.5,420
2213,Godinez-Alvarez et al. (2012),Godinez-Alvarez,2012,Mexico,North America,Yes,Yes,Yes,Yes,No,0.22631280500000001,8.1683290000000002E-3,7.2563166999999998E-2,8.2497569999999999E-3,0.584506831,7.8250799999999999E-3,NA,NA,0.29446093400000001,8.0810550000000002E-3,0.5,4,4,"Zapotitlan Salinas, Puebla",Mixed,Semi-Arid,Non N-fixing Forb,Native,Perennial,Fibrous,Bare soil,Greenhouse,Neobuxbaumia tetetzo,Tetetzo,Cactaceae,Forb,18.323888889999999,-97.455555559999993,0.41299999999999998,20.5,420
2690,Gold & Bliss (1995),Gold,1995,Canada,North America,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,1.014332631,8.2105868999999998E-2,1.014332631,8.2105868999999998E-2,0.33333333300000001,6,6,"Devon Island, NWT",Mixed,Other,Non N-fixing Forb,Native,Perennial,Tap,Bare soil,Field,Draba corymbosa,flat-top draba,Brassicaceae,Forb,75.650000000000006,-84.4,0.67200000000000004,-16.7,142
2690,Gold & Bliss (1995),Gold,1995,Canada,North America,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,1.014332631,8.2105868999999998E-2,1.014332631,8.2105868999999998E-2,0.33333333300000001,6,6,"Devon Island, NWT",Mixed,Other,Non N-fixing Forb,Native,Perennial,Tap,Bare soil,Field,Saxifraga caespitosa,tufted alpine saxifrage,Saxifragaceae,Forb,75.650000000000006,-84.4,0.67200000000000004,-16.7,142
2690,Gold & Bliss (1995),Gold,1995,Canada,North America,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,1.014332631,8.2105868999999998E-2,1.014332631,8.2105868999999998E-2,0.33333333300000001,6,6,"Devon Island, NWT",Mixed,Other,Non N-fixing Forb,Native,Annual,Tap,Bare soil,Field,Minuartia rubella,beautiful sandwort,Caryophyllaceae,Forb,75.650000000000006,-84.4,0.67200000000000004,-16.7,142
2690,Gold & Bliss (1995),Gold,1995,Canada,North America,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,1.014332631,8.2105868999999998E-2,1.014332631,8.2105868999999998E-2,0.33333333300000001,6,6,"Devon Island, NWT",Mixed,Other,Non N-fixing Forb,Native,Perennial,Tap,Bare soil,Field,Papaver radicatum,rooted poppy,Papaveraceae,Forb,75.650000000000006,-84.4,0.67200000000000004,-16.7,142
2690,Gold & Bliss (1995),Gold,1995,Canada,North America,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,1.014332631,8.2105868999999998E-2,1.014332631,8.2105868999999998E-2,0.33333333300000001,6,6,"Devon Island, NWT",Mixed,Other,Non N-fixing Forb,Native,Perennial,Tap,Bare soil,Field,Saxifraga oppositifolia,Purple mountain saxifrage,Saxifragaceae,Forb,75.650000000000006,-84.4,0.67200000000000004,-16.7,142
2664,Lesica & Shelly (1992),Lesica,1992,USA,North America,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,0.54763871799999997,2.860993E-3,0.54763871799999997,2.860993E-3,0.16666666699999999,12,12,"Birch Creek, Ravalli County, Montana",Mixed,Semi-Arid,Non N-fixing Forb,Native,Perennial,Tap,Bare soil,Field,Arabis fecunda,Mt. Sapphire rockcress,Brassicaceae,Forb,46.386388889999999,-114.0413889,0.34,6.4,346
2664,Lesica & Shelly (1992),Lesica,1992,USA,North America,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,1.1826935810000001,2.8273600000000001E-3,1.1826935810000001,2.8273600000000001E-3,0.16666666699999999,12,12,"Charley's Gulch, Ravalli County, Montana",Mixed,Semi-Arid,Non N-fixing Forb,Native,Perennial,Tap,Bare soil,Field,Arabis fecunda,Mt. Sapphire rockcress,Brassicaceae,Forb,46.27333333,-114.03277780000001,0.33500000000000002,6,367
2664,Lesica & Shelly (1992),Lesica,1992,USA,North America,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,0.80493799200000005,2.099732E-3,0.80493799200000005,2.099732E-3,0.16666666699999999,12,12,"Lime Gulch North, Beaverhead County, Montana",Mixed,Semi-Arid,Non N-fixing Forb,Native,Perennial,Tap,Bare soil,Field,Arabis fecunda,Mt. Sapphire rockcress,Brassicaceae,Forb,45.395000000000003,-112.8144444,0.30499999999999999,3.7,309
2664,Lesica & Shelly (1992),Lesica,1992,USA,North America,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,0.35139762699999999,2.0972629999999998E-3,0.35139762699999999,2.0972629999999998E-3,0.16666666699999999,12,12,"Lime Gulch South, Beaverhead County, Montana",Mixed,Semi-Arid,Non N-fixing Forb,Native,Perennial,Tap,Bare soil,Field,Arabis fecunda,Mt. Sapphire rockcress,Brassicaceae,Forb,45.403055559999999,-112.80555560000001,0.30499999999999999,2.8,338
2687,Zhang et al. (2010),Zhang,2010,China,Asia,Yes,Yes,No,No,No,0.21363042500000001,5.3492501999999997E-2,NA,NA,NA,NA,NA,NA,0.21363042500000001,5.3492501999999997E-2,0.28571428599999998,7,7,"Gurbantünggüt  Desert, Xinjiang Uygur Autonomous Region",Mixed,Arid,Non N-fixing Woody Plant,Native,Perennial,Tap,Bare soil,Field,Haloxylon persicum,NA,Amaranthaceae,Tree,45.133333329999999,87.333333330000002,0.16,7.8,157
2687,Zhang et al. (2010),Zhang,2010,China,Asia,Yes,Yes,No,No,No,-0.17943955,3.4017470000000001E-2,NA,NA,NA,NA,NA,NA,-0.17943955,3.4017470000000001E-2,0.28571428599999998,7,7,"Gurbantünggüt  Desert, Xinjiang Uygur Autonomous Region",Mixed,Arid,Non N-fixing Woody Plant,Native,Perennial,Tap,Bare soil,Field,Ephedra distachya,jointfir,Ephedraceae,Shrub,45.133333329999999,87.333333330000002,0.16,7.8,157
2687,Zhang et al. (2010),Zhang,2010,China,Asia,Yes,Yes,No,No,No,-0.49195761300000002,2.5411357999999998E-2,NA,NA,NA,NA,NA,NA,-0.49195761300000002,2.5411357999999998E-2,0.28571428599999998,7,7,"Gurbantünggüt  Desert, Xinjiang Uygur Autonomous Region",Mixed,Arid,Non N-fixing Forb,Native,Perennial,Tap,Bare soil,Field,Ceratocarpus arenarius,NA,Amaranthaceae,Forb,45.133333329999999,87.333333330000002,0.16,7.8,157
2687,Zhang et al. (2010),Zhang,2010,China,Asia,Yes,Yes,No,No,No,-0.88311861199999997,0.168175887,NA,NA,NA,NA,NA,NA,-0.88311861199999997,0.168175887,0.28571428599999998,7,7,"Gurbantünggüt  Desert, Xinjiang Uygur Autonomous Region",Mixed,Arid,Non N-fixing Forb,Non-Native,Annual,Tap,Bare soil,Field,Malcolmia africana,African mustard,Brassicaceae,Forb,45.133333329999999,87.333333330000002,0.16,7.8,157
2687,Zhang et al. (2010),Zhang,2010,China,Asia,Yes,Yes,No,No,No,0.42862019800000001,8.9232402000000002E-2,NA,NA,NA,NA,NA,NA,0.42862019800000001,8.9232402000000002E-2,0.28571428599999998,7,7,"Gurbantünggüt  Desert, Xinjiang Uygur Autonomous Region",Mixed,Arid,Non N-fixing Forb,Native,Annual,Tap,Bare soil,Field,Lappula semiglabra,NA,Boraginaceae,Forb,45.133333329999999,87.333333330000002,0.16,7.8,157
2687,Zhang et al. (2010),Zhang,2010,China,Asia,Yes,Yes,No,No,No,-0.302332353,4.2692837999999997E-2,NA,NA,NA,NA,NA,NA,-0.302332353,4.2692837999999997E-2,0.28571428599999998,7,7,"Gurbantünggüt  Desert, Xinjiang Uygur Autonomous Region",Mixed,Arid,Non N-fixing Woody Plant,Native,Perennial,Tap,Bare soil,Field,Haloxylon persicum,NA,Amaranthaceae,Tree,45.133333329999999,87.333333330000002,0.16,7.8,157
2687,Zhang et al. (2010),Zhang,2010,China,Asia,Yes,Yes,No,No,No,2.9149386999999999E-2,1.4102441E-2,NA,NA,NA,NA,NA,NA,2.9149386999999999E-2,1.4102441E-2,0.28571428599999998,7,7,"Gurbantünggüt  Desert, Xinjiang Uygur Autonomous Region",Mixed,Arid,Non N-fixing Woody Plant,Native,Perennial,Tap,Bare soil,Field,Ephedra distachya,jointfir,Ephedraceae,Shrub,45.133333329999999,87.333333330000002,0.16,7.8,157
2687,Zhang et al. (2010),Zhang,2010,China,Asia,Yes,Yes,No,No,No,-0.238733317,1.8940136E-2,NA,NA,NA,NA,NA,NA,-0.238733317,1.8940136E-2,0.28571428599999998,7,7,"Gurbantünggüt  Desert, Xinjiang Uygur Autonomous Region",Mixed,Arid,Non N-fixing Forb,Native,Perennial,Tap,Bare soil,Field,Ceratocarpus arenarius,NA,Amaranthaceae,Forb,45.133333329999999,87.333333330000002,0.16,7.8,157
2687,Zhang et al. (2010),Zhang,2010,China,Asia,Yes,Yes,No,No,No,-0.13903394599999999,4.2188791000000003E-2,NA,NA,NA,NA,NA,NA,-0.13903394599999999,4.2188791000000003E-2,0.28571428599999998,7,7,"Gurbantünggüt  Desert, Xinjiang Uygur Autonomous Region",Mixed,Arid,Non N-fixing Forb,Non-Native,Annual,Tap,Bare soil,Field,Malcolmia africana,African mustard,Brassicaceae,Forb,45.133333329999999,87.333333330000002,0.16,7.8,157
2687,Zhang et al. (2010),Zhang,2010,China,Asia,Yes,Yes,No,No,No,-0.173281518,2.6708105999999999E-2,NA,NA,NA,NA,NA,NA,-0.173281518,2.6708105999999999E-2,0.28571428599999998,7,7,"Gurbantünggüt  Desert, Xinjiang Uygur Autonomous Region",Mixed,Arid,Non N-fixing Forb,Native,Annual,Tap,Bare soil,Field,Lappula semiglabra,NA,Boraginaceae,Forb,45.133333329999999,87.333333330000002,0.16,7.8,157
2662,Kindron (2014),Kidron,2014,Israel,Asia,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,-10.18493775,0.40472259300000002,-10.18493775,0.40472259300000002,0.222222222,9,9,Hallamish Dune Field,Cyanobacteria,Arid,Community,NA,Annual,Community,Bare soil,Field,Community,Community,Community,NA,30.93,34.380000000000003,6.9000000000000006E-2,19.5,133
2662,Kindron (2014),Kidron,2014,Israel,Asia,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,-10.18493775,0.40472259300000002,-10.18493775,0.40472259300000002,0.222222222,9,9,Hallamish Dune Field,Cyanobacteria,Arid,Community,NA,Annual,Community,Bare soil,Field,Community,Community,Community,NA,30.93,34.380000000000003,6.9000000000000006E-2,19.5,133
2662,Kindron (2014),Kidron,2014,Israel,Asia,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,-10.18493775,0.40472259300000002,-10.18493775,0.40472259300000002,0.222222222,9,9,Hallamish Dune Field,Cyanobacteria,Arid,Community,NA,Annual,Community,Bare soil,Field,Community,Community,Community,NA,30.93,34.380000000000003,6.9000000000000006E-2,19.5,133
2662,Kindron (2014),Kidron,2014,Israel,Asia,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,-1.7083582390000001,2.0114243E-2,-1.7083582390000001,2.0114243E-2,0.222222222,9,9,Hallamish Dune Field,Cyanobacteria,Arid,Community,NA,Annual,Community,Bare soil,Field,Community,Community,Community,NA,30.93,34.380000000000003,6.9000000000000006E-2,19.5,133
2662,Kindron (2014),Kidron,2014,Israel,Asia,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,-1.4852563459999999,1.8972010000000001E-2,-1.4852563459999999,1.8972010000000001E-2,0.222222222,9,9,Hallamish Dune Field,Cyanobacteria,Arid,Community,NA,Annual,Community,Bare soil,Field,Community,Community,Community,NA,30.93,34.380000000000003,6.9000000000000006E-2,19.5,133
2662,Kindron (2014),Kidron,2014,Israel,Asia,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,-10.61646187,0.403652285,-10.61646187,0.403652285,0.222222222,9,9,Hallamish Dune Field,Cyanobacteria,Arid,Community,NA,Annual,Community,Bare soil,Field,Community,Community,Community,NA,30.93,34.380000000000003,6.9000000000000006E-2,19.5,133
2662,Kindron (2014),Kidron,2014,Israel,Asia,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,-10.61646187,0.403652285,-10.61646187,0.403652285,0.222222222,9,9,Hallamish Dune Field,Cyanobacteria,Arid,Community,NA,Annual,Community,Bare soil,Field,Community,Community,Community,NA,30.93,34.380000000000003,6.9000000000000006E-2,19.5,133
2662,Kindron (2014),Kidron,2014,Israel,Asia,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,-10.61646187,0.403652285,-10.61646187,0.403652285,0.222222222,9,9,Hallamish Dune Field,Cyanobacteria,Arid,Community,NA,Annual,Community,Bare soil,Field,Community,Community,Community,NA,30.93,34.380000000000003,6.9000000000000006E-2,19.5,133
2662,Kindron (2014),Kidron,2014,Israel,Asia,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,-10.61646187,0.403652285,-10.61646187,0.403652285,0.222222222,9,9,Hallamish Dune Field,Cyanobacteria,Arid,Community,NA,Annual,Community,Bare soil,Field,Community,Community,Community,NA,30.93,34.380000000000003,6.9000000000000006E-2,19.5,133
2662,Kindron (2014),Kidron,2014,Israel,Asia,Yes,No,No,No,Yes,NA,NA,NA,NA,NA,NA,-10.61646187,0.403652285,-10.61646187,0.403652285,0.222222222,9,9,Hallamish Dune Field,Cyanobacteria,Arid,Community,NA,Annual,Community,Bare soil,Field,Community,Community,Community,NA,30.93,34.380000000000003,6.9000000000000006E-2,19.5,133
2410,Morgan (2006),Morgan,2006,Australia,Australia,Yes,Yes,No,No,No,-12.34583894,0.950571689,NA,NA,NA,NA,NA,NA,-12.34583894,0.950571689,0.5,4,4,Gisborne,Moss,Semi-Arid,C3 Grass,Non-Native,Annual,Fibrous,Biocrust disturbance,Field,Briza maxima,big quakinggrass,Poaceae,Grass,-38,144.5,0.39400000000000002,14.5,509
2410,Morgan (2006),Morgan,2006,Australia,Australia,Yes,Yes,No,No,No,-10.239995499999999,1.182454815,NA,NA,NA,NA,NA,NA,-10.239995499999999,1.182454815,0.5,4,4,Gisborne,Moss,Semi-Arid,C3 Grass,Non-Native,Annual,Fibrous,Biocrust disturbance,Field,Briza maxima,big quakinggrass,Poaceae,Grass,-38,144.5,0.39400000000000002,14.5,509
2410,Morgan (2006),Morgan,2006,Australia,Australia,Yes,Yes,Yes,Yes,No,-0.168024008,1.1170589999999999E-2,-7.9137231000000002E-2,7.936383E-3,-0.63416449100000005,5.8138964000000001E-2,NA,NA,-0.29377524300000002,2.5748646E-2,0.58333333300000001,3,4,Gisborne,Moss,Semi-Arid,C3 Grass,Non-Native,Annual,Fibrous,Biocrust disturbance,Field,Briza maxima,big quakinggrass,Poaceae,Grass,-38,144.5,0.39400000000000002,14.5,509
2410,Morgan (2006),Morgan,2006,Australia,Australia,Yes,Yes,Yes,Yes,No,-1.485862327,0.160826636,-0.24116173199999999,6.072317E-2,-1.4663004399999999,6.3447758000000007E-2,NA,NA,-1.0644415,9.4999187999999998E-2,0.5,4,4,Gisborne,Moss,Semi-Arid,Non N-fixing Forb,Non-Native,Annual,Tap,Biocrust disturbance,Field,Hypochaeris radicata,Hairy cat's ear,Asteraceae,Forb,-38,144.5,0.39400000000000002,14.5,509
2410,Morgan (2006),Morgan,2006,Australia,Australia,Yes,Yes,Yes,Yes,No,-1.7989434339999999,0.36607594300000001,5.1293242000000003E-2,6.3182159999999998E-3,-0.77650531199999995,0.43503829700000002,NA,NA,-0.84138516799999996,0.26914415200000003,0.5,4,4,Gisborne,Moss,Semi-Arid,Non N-fixing Forb,Non-Native,Annual,Tap,Biocrust disturbance,Field,Hypochaeris radicata,Hairy cat's ear,Asteraceae,Forb,-38,144.5,0.39400000000000002,14.5,509
2410,Morgan (2006),Morgan,2006,Australia,Australia,Yes,Yes,Yes,Yes,No,-4.4016777999999999E-2,9.8808579999999993E-2,3.1090554999999999E-2,3.186576E-3,-0.51081729099999995,5.1890709E-2,NA,NA,-0.17458117100000001,5.1295288000000001E-2,0.58333333300000001,3,4,Gisborne,Moss,Semi-Arid,Non N-fixing Forb,Non-Native,Annual,Tap,Biocrust disturbance,Field,Hypochaeris radicata,Hairy cat's ear,Asteraceae,Forb,-38,144.5,0.39400000000000002,14.5,509
2410,Morgan (2006),Morgan,2006,Australia,Australia,Yes,Yes,Yes,Yes,No,-1.5188808250000001,0.18124383399999999,8.7968675999999996E-2,7.526324E-3,-0.24845571799999999,8.5342063999999995E-2,NA,NA,-0.55978928900000002,9.1370741000000005E-2,0.5,4,4,Gisborne,Moss,Semi-Arid,Non N-fixing Forb,Non-Native,Perennial,Tap,Biocrust disturbance,Field,Plantago lanceolata,Narrowleaf plantain,Plantaginaceae,Forb,-38,144.5,0.39400000000000002,14.5,509
2410,Morgan (2006),Morgan,2006,Australia,Australia,Yes,Yes,Yes,Yes,No,-1.6311079610000001,0.147657234,-0.237129496,7.4272940999999995E-2,0.79393527600000002,0.15033542699999999,NA,NA,-0.35810072700000001,0.124088534,0.5,4,4,Gisborne,Moss,Semi-Arid,Non N-fixing Forb,Non-Native,Perennial,Tap,Biocrust disturbance,Field,Plantago lanceolata,Narrowleaf plantain,Plantaginaceae,Forb,-38,144.5,0.39400000000000002,14.5,509
2410,Morgan (2006),Morgan,2006,Australia,Australia,Yes,Yes,Yes,Yes,No,-0.21588760100000001,9.9828254000000005E-2,0,8.2789779999999993E-3,0.11122357099999999,7.5686165E-2,NA,NA,-3.4888009999999997E-2,6.1264465999999997E-2,0.58333333300000001,3,4,Gisborne,Moss,Semi-Arid,Non N-fixing Forb,Non-Native,Perennial,Tap,Biocrust disturbance,Field,Plantago lanceolata,Narrowleaf plantain,Plantaginaceae,Forb,-38,144.5,0.39400000000000002,14.5,509
2410,Morgan (2006),Morgan,2006,Australia,Australia,Yes,Yes,Yes,Yes,No,-1.3291257350000001,0.258214369,5.6512145999999999E-2,9.2147949999999996E-3,-0.20763805399999999,1.8781229999999999E-2,NA,NA,-0.49341721399999999,9.5403465000000007E-2,0.5,4,4,Gisborne,Moss,Semi-Arid,Non N-fixing Forb,Native,Perennial,Tap,Biocrust disturbance,Field,Acaena echinata,Sheep's Burr,Rosaceae,Forb,-38,144.5,0.39400000000000002,14.5,509
2410,Morgan (2006),Morgan,2006,Australia,Australia,Yes,Yes,No,No,No,-9.3927452589999998,1.339928733,NA,NA,NA,NA,NA,NA,-9.3927452589999998,1.339928733,0.5,4,4,Gisborne,Moss,Semi-Arid,Non N-fixing Forb,Native,Perennial,Tap,Biocrust disturbance,Field,Acaena echinata,Sheep's Burr,Rosaceae,Forb,-38,144.5,0.39400000000000002,14.5,509
2410,Morgan (2006),Morgan,2006,Australia,Australia,Yes,Yes,Yes,Yes,No,-6.6206471000000003E-2,3.3831945000000002E-2,2.1506181999999999E-2,3.9722459999999996E-3,-0.283766886,1.8114198000000001E-2,NA,NA,-0.109489059,1.8639462999999998E-2,0.58333333300000001,3,4,Gisborne,Moss,Semi-Arid,Non N-fixing Forb,Native,Perennial,Tap,Biocrust disturbance,Field,Acaena echinata,Sheep's Burr,Rosaceae,Forb,-38,144.5,0.39400000000000002,14.5,509
2410,Morgan (2006),Morgan,2006,Australia,Australia,Yes,Yes,Yes,Yes,No,-0.16929130100000001,6.1811988999999998E-2,0.100643413,1.3021843999999999E-2,-0.30226552699999998,7.8393075000000007E-2,NA,NA,-0.123637805,5.1075636000000001E-2,0.5,4,4,Gisborne,Moss,Semi-Arid,Non N-fixing Forb,Native,Perennial,Tap,Biocrust disturbance,Field,Senecio macrocarpus,Large fruit fireweed/groundsel,Asteraceae,Forb,-38,144.5,0.39400000000000002,14.5,509
2410,Morgan (2006),Morgan,2006,Australia,Australia,Yes,Yes,No,No,No,9.3927452589999998,1.339928733,NA,NA,NA,NA,NA,NA,9.3927452589999998,1.339928733,0.5,4,4,Gisborne,Moss,Semi-Arid,Non N-fixing Forb,Native,Perennial,Tap,Biocrust disturbance,Field,Senecio macrocarpus,Large fruit fireweed/groundsel,Asteraceae,Forb,-38,144.5,0.39400000000000002,14.5,509
